city,neighbourhood_cleansed,population,housing_units,rent_median,rent_burden
broward-county,Lauderdale By The Sea,1.0,1.0,1595.7325644423388,33.70696606144814
broward-county,Lauderdale Lakes,1.0,1.0,1595.7325644423388,33.70696606144814
broward-county,Lauderhill,63717.0,21782.0,1312.0089060239638,42.49972399723972
broward-county,Lazy Lake,1.0,1.0,1595.7325644423388,33.70696606144814
broward-county,Lighthouse Point,1.0,1.0,1595.7325644423388,33.70696606144814
broward-county,Margate,54908.0,24962.0,1470.002289876966,40.99986717720663
broward-county,Miramar,251398.0,85127.0,1614.861220057439,37.625316430520535
broward-county,North Lauderdale,52541.0,18539.0,1645.0,49.6
broward-county,Oakland Park,29499.0,12732.0,1332.0178807799887,37.29975639622098
broward-county,Parkland,67693.0,21213.0,2271.3747950305055,36.109797172528914
broward-county,Pembroke Park,1.0,1.0,1595.7325644423388,33.70696606144814
broward-county,Pembroke Pines,133219.0,45131.0,1666.3040762396088,35.74167729052208
broward-county,Plantation,126751.0,50680.0,1736.9626527419377,33.63930399679832
broward-county,Pompano Beach,90682.0,38352.0,1377.7613631179042,37.63556304298809
broward-county,Sea Ranch Lakes,1.0,1.0,1595.7325644423388,33.70696606144814
broward-county,Southwest Ranches,39600.0,12068.0,2461.6123737373737,35.73486514110924
broward-county,Sunrise,57800.0,20910.0,1857.4270322686657,36.425567715088626
broward-county,Tamarac,101217.0,42359.0,1509.2709004669616,39.6046346657781
broward-county,Tribal Land,1.0,1.0,1595.7325644423388,33.70696606144814
broward-county,Unincorporated,1.0,1.0,1595.7325644423388,33.70696606144814
broward-county,West Park,1.0,1.0,1595.7325644423388,33.70696606144814
broward-county,Weston,31687.0,10655.0,2023.0,34.7
broward-county,Wilton Manors,1.0,1.0,1595.7325644423388,33.70696606144814
cambridge,Agassiz,1.0,1.0,1595.7325644423388,33.70696606144814
cambridge,Area 2/MIT,1.0,1.0,1595.7325644423388,33.70696606144814
cambridge,Cambridge Highlands,1.0,1.0,1595.7325644423388,33.70696606144814
cambridge,Cambridgeport,39707.0,15263.0,2314.0,30.900000000000002
cambridge,East Cambridge,18125.0,8903.0,2636.805903448276,32.03248000000001
cambridge,Mid-Cambridge,1.0,1.0,1595.7325644423388,33.70696606144814
cambridge,Neighborhood Nine,1.0,1.0,1595.7325644423388,33.70696606144814
cambridge,North Cambridge,20060.0,9437.0,2185.0,24.1
cambridge,Riverside,1.0,1.0,1595.7325644423388,33.70696606144814
cambridge,Strawberry Hill,1.0,1.0,1595.7325644423388,33.70696606144814
cambridge,The Port,1.0,1.0,1595.7325644423388,33.70696606144814
cambridge,Wellington-Harrington,1.0,1.0,1595.7325644423388,33.70696606144814
cambridge,West Cambridge,39370.0,14377.0,2424.0,31.0
chicago,Albany Park,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Archer Heights,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Armour Square,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Ashburn,43485.0,13479.0,1250.0,34.8
chicago,Auburn Gresham,69357.0,25825.0,985.0,43.8
chicago,Austin,47630.0,17870.0,992.0,51.2
chicago,Avalon Park,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Avondale,1.0,1.0,1595.7325644423388,33.70696606144814
chicago,Belmont Cragin,89037.0,26363.0,1094.0,35.9
