,city,neighborhood,coordinates
92,austin,78737,"(-97.96638860208597, 30.175604)"
93,austin,78756,"(-97.73758978526229, 30.320504)"
94,austin,78747,"(-97.77384909896968, 30.1198305)"
95,austin,78751,"(-97.72500896707731, 30.310034)"
96,austin,78712,"(-97.72977009989182, 30.2860815)"
97,austin,78738,"(-97.98317592473119, 30.314135)"
98,austin,78725,"(-97.59452280427442, 30.2458435)"
99,austin,78757,"(-97.73085859569892, 30.3532935)"
100,austin,78728,"(-97.69561135288284, 30.452232000000002)"
101,austin,78744,"(-97.73545168961999, 30.1747885)"
102,austin,78736,"(-97.96429062463623, 30.258631)"
103,austin,78702,"(-97.71516781932775, 30.263678)"
104,austin,78741,"(-97.7130711252551, 30.2310375)"
105,austin,78719,"(-97.68523081880207, 30.145967499999998)"
106,austin,78742,"(-97.6606770424581, 30.2417235)"
107,austin,78722,"(-97.71455568518519, 30.291862000000002)"
108,austin,78703,"(-97.76900462328767, 30.289765)"
109,austin,78717,"(-97.76164650032658, 30.487716)"
110,austin,78749,"(-97.86143548398269, 30.206118500000002)"
111,austin,78730,"(-97.83073573281797, 30.3643855)"
112,austin,78745,"(-97.80079592514394, 30.200338000000002)"
113,austin,78731,"(-97.77049435395588, 30.345093)"
114,austin,78748,"(-97.8240577544862, 30.163824499999997)"
115,austin,78729,"(-97.75669602046577, 30.4558575)"
116,austin,78752,"(-97.70496650276353, 30.3335595)"
117,austin,78724,"(-97.61682958577778, 30.293997)"
118,austin,78704,"(-97.76865174417809, 30.2417125)"
119,austin,78753,"(-97.67061379023593, 30.3798045)"
120,austin,78705,"(-97.73413273464911, 30.2929355)"
121,austin,78758,"(-97.71014587085324, 30.3841265)"
122,austin,78746,"(-97.8191873294897, 30.296094500000002)"
123,austin,78759,"(-97.75674447071094, 30.397731)"
124,austin,78726,"(-97.84332497113944, 30.4264035)"
125,austin,78733,"(-97.87505064424303, 30.320716500000003)"
126,austin,78723,"(-97.68579211335013, 30.3039975)"
127,austin,78750,"(-97.80779866661258, 30.4138105)"
128,austin,78735,"(-97.88270813719214, 30.269392500000002)"
129,austin,78721,"(-97.68317482995951, 30.267817)"
130,austin,78727,"(-97.71795151801268, 30.428034)"
131,austin,78734,"(-97.9485129865627, 30.382934)"
132,austin,78701,"(-97.74366217445528, 30.266915)"
133,columbus,Near East,"(-82.96611944061584, 39.964701500000004)"
134,columbus,Near North/University,"(-83.00950551129392, 39.9964045)"
135,columbus,Downtown,"(-83.0007061414956, 39.965953)"
136,columbus,West Olentangy,"(-83.03248487769696, 40.011893)"
137,columbus,Westland,"(-83.14311642104317, 39.93016849999999)"
138,columbus,Hayden Run,"(-83.12692649460058, 40.0728865)"
139,columbus,Far West,"(-83.14515771819853, 39.997855)"
140,columbus,Clintonville,"(-83.01584783262075, 40.0481915)"
141,columbus,Southeast,"(-82.84226796653638, 39.8859225)"
142,columbus,Northland,"(-82.96518433574605, 40.083967)"
143,columbus,Franklinton,"(-83.0261422849502, 39.954357)"
144,columbus,Far East,"(-82.8382363140644, 39.971078000000006)"
145,columbus,North Linden,"(-82.98214680696054, 40.035596999999996)"
146,columbus,Northwest,"(-83.07860469724446, 40.074445499999996)"
147,columbus,Greenlawn/Frank Road,"(-83.04174218817568, 39.915195499999996)"
148,columbus,Far Northwest,"(-83.0632562869152, 40.114950500000006)"
149,columbus,South Linden,"(-82.96694507224791, 39.9957335)"
150,columbus,Northeast,"(-82.9242737315127, 40.0196315)"
151,columbus,Far North,"(-82.98826471985046, 40.133551999999995)"
152,columbus,Near South,"(-82.96662259669385, 39.934506)"
153,columbus,Hilltop,"(-83.07845207865735, 39.941602)"
154,columbus,Far South,"(-82.95810596628911, 39.896640500000004)"
155,columbus,Rocky Fork-Blacklick,"(-82.8704421310035, 40.083943000000005)"
156,columbus,Eastland/Brice,"(-82.83164402401482, 39.909273999999996)"
