,city,neighborhood,coordinates
419,new-york-city,Concourse,"(-73.92606344330633, 40.828516)"
420,new-york-city,Concourse Village,"(-73.91772394880618, 40.827099000000004)"
421,new-york-city,Coney Island,"(-73.99223021834915, 40.5760585)"
422,new-york-city,Corona,"(-73.85914444427226, 40.742118500000004)"
423,new-york-city,Mount Eden,"(-73.91717342196631, 40.8405125)"
424,new-york-city,Jamaica Hills,"(-73.80018935438133, 40.71337)"
425,new-york-city,Country Club,"(-73.82039159975962, 40.8412645)"
426,new-york-city,Mount Hope,"(-73.90653235980635, 40.847893)"
427,new-york-city,DUMBO,"(-73.98968725388198, 40.7033615)"
428,new-york-city,Dongan Hills,"(-74.09343998963243, 40.5817215)"
429,new-york-city,Douglaston,"(-73.73947195210314, 40.7626815)"
430,new-york-city,Downtown Brooklyn,"(-73.98662160295916, 40.694854)"
431,new-york-city,Dyker Heights,"(-74.01123354348243, 40.6215715)"
432,new-york-city,Glen Oaks,"(-73.71685330650556, 40.75192)"
433,new-york-city,East Elmhurst,"(-73.88130188870059, 40.7632545)"
434,new-york-city,East Flatbush,"(-73.93167862203842, 40.648881)"
435,new-york-city,East Harlem,"(-73.93755105673503, 40.8018545)"
436,new-york-city,East Morrisania,"(-73.88812128945685, 40.8341975)"
437,new-york-city,Eltingville,"(-74.15739001415093, 40.545807999999994)"
438,new-york-city,Emerson Hill,"(-74.13037931188012, 40.604744)"
439,new-york-city,Elmhurst,"(-73.87681936731192, 40.7355835)"
440,new-york-city,Fieldston,"(-73.90246640522518, 40.8926815)"
441,new-york-city,East New York,"(-73.8808093867816, 40.658610499999995)"
442,new-york-city,East Village,"(-73.981758546401, 40.726296500000004)"
443,new-york-city,Eastchester,"(-73.83023576081845, 40.8837855)"
444,new-york-city,Edenwald,"(-73.83977943368467, 40.8856875)"
445,new-york-city,Edgemere,"(-73.78510447050233, 40.5986875)"
446,new-york-city,Glendale,"(-73.88303417762233, 40.7027285)"
447,new-york-city,Far Rockaway,"(-73.7493737980869, 40.600787)"
448,new-york-city,Jamaica Estates,"(-73.79124883045635, 40.720884)"
449,new-york-city,Financial District,"(-74.00850666585956, 40.70670200000001)"
450,new-york-city,Flatbush,"(-73.9605948334715, 40.6421435)"
451,new-york-city,Flatiron District,"(-73.99000709933333, 40.743069)"
452,new-york-city,Flatlands,"(-73.93226834429197, 40.6258905)"
453,new-york-city,Laurelton,"(-73.74445074215737, 40.674820999999994)"
454,new-york-city,Shore Acres,"(-74.06666304074704, 40.607862499999996)"
455,new-york-city,Flushing,"(-73.81481442373001, 40.7489975)"
456,new-york-city,Gowanus,"(-73.9917845954266, 40.674164)"
457,new-york-city,Forest Hills,"(-73.84602363955554, 40.720337)"
458,new-york-city,Fort Greene,"(-73.97551588396519, 40.690531)"
459,new-york-city,Fort Hamilton,"(-74.03133382260339, 40.614233999999996)"
460,new-york-city,Fort Wadsworth,"(-74.0582755172216, 40.600691499999996)"
461,new-york-city,Fresh Meadows,"(-73.78540311790978, 40.739222)"
462,new-york-city,Gramercy,"(-73.98512235864945, 40.73605)"
463,new-york-city,Graniteville,"(-74.15291534150077, 40.617754)"
464,new-york-city,Gravesend,"(-73.98295702617328, 40.5947635)"
465,new-york-city,Kensington,"(-73.97279584634414, 40.635093499999996)"
466,new-york-city,Kew Gardens,"(-73.82797970676464, 40.708822999999995)"
467,new-york-city,Parkchester,"(-73.86501325161514, 40.835280499999996)"
468,new-york-city,Pelham Bay,"(-73.83422543727073, 40.8505975)"
469,new-york-city,Great Kills,"(-74.15679134576493, 40.552638)"
470,new-york-city,Huguenot,"(-74.16873118220929, 40.531456000000006)"
471,new-york-city,Greenpoint,"(-73.94667435711109, 40.728168499999995)"
472,new-york-city,Greenwich Village,"(-73.99645492023546, 40.731401500000004)"
473,new-york-city,Grymes Hill,"(-74.0951552840408, 40.6151305)"
474,new-york-city,Harlem,"(-73.94686249054672, 40.814389)"
475,new-york-city,Queens Village,"(-73.7429364593001, 40.717861)"
476,new-york-city,Hell's Kitchen,"(-73.99333413141576, 40.7631285)"
477,new-york-city,Highbridge,"(-73.92723466259946, 40.8372295)"
478,new-york-city,Hollis,"(-73.76725045338925, 40.713409)"
479,new-york-city,Hollis Hills,"(-73.75485475213675, 40.7337165)"
480,new-york-city,Holliswood,"(-73.76893578781358, 40.7199725)"
481,new-york-city,Howard Beach,"(-73.83019631185567, 40.655345999999994)"
482,new-york-city,Howard Beach,"(-73.84981811117211, 40.659062500000005)"
483,new-york-city,Howland Hook,"(-74.17679407468842, 40.630694500000004)"
484,new-york-city,Pelham Gardens,"(-73.84323978201263, 40.865243)"
485,new-york-city,Hunts Point,"(-73.88301248496037, 40.8113505)"
486,new-york-city,Inwood,"(-73.92266104459188, 40.866921000000005)"
487,new-york-city,Jackson Heights,"(-73.87522509614054, 40.752502)"
488,new-york-city,Jamaica,"(-73.79504566356394, 40.691908)"
489,new-york-city,Morris Park,"(-73.85323391517511, 40.850094999999996)"
490,new-york-city,Kew Gardens Hills,"(-73.81930456097561, 40.725215)"
491,new-york-city,Kingsbridge,"(-73.89753673796304, 40.8756705)"
492,new-york-city,Kips Bay,"(-73.9780844667468, 40.7405395)"
493,new-york-city,Lighthouse Hill,"(-74.13939289153208, 40.573929500000006)"
494,new-york-city,Little Italy,"(-73.99800397349439, 40.7187525)"
495,new-york-city,Little Neck,"(-73.73119558703479, 40.767467999999994)"
496,new-york-city,Morrisania,"(-73.90255601746829, 40.829620000000006)"
497,new-york-city,Murray Hill,"(-73.97544470435253, 40.74785249999999)"
498,new-york-city,Long Island City,"(-73.93739902809058, 40.748330499999994)"
499,new-york-city,Longwood,"(-73.90230699009163, 40.819469999999995)"
500,new-york-city,Lower East Side,"(-73.98207391635694, 40.71593)"
501,new-york-city,Manhattan Beach,"(-73.94248115650844, 40.5784295)"
502,new-york-city,Marble Hill,"(-73.91113615660474, 40.875655)"
503,new-york-city,Midtown,"(-73.97263372717563, 40.7552225)"
504,new-york-city,Midwood,"(-73.96067033627696, 40.6218125)"
505,new-york-city,Norwood,"(-73.8799718531746, 40.876470499999996)"
506,new-york-city,Oakwood,"(-74.1159364155854, 40.558696499999996)"
507,new-york-city,Morris Heights,"(-73.91713554106416, 40.8506825)"
508,new-york-city,Pleasant Plains,"(-74.22171402174621, 40.520315499999995)"
509,new-york-city,Mariners Harbor,"(-74.15811370123143, 40.6346155)"
510,new-york-city,Maspeth,"(-73.90769961557903, 40.727435)"
511,new-york-city,Melrose,"(-73.91858406723938, 40.819777)"
512,new-york-city,Middle Village,"(-73.8792215859232, 40.71691)"
513,new-york-city,Midland Beach,"(-74.09291072349788, 40.573369)"
514,new-york-city,Mill Basin,"(-73.90925435477818, 40.6110525)"
515,new-york-city,Morningside Heights,"(-73.96141494976938, 40.8101555)"
516,new-york-city,Olinville,"(-73.86768786617932, 40.878752000000006)"
517,new-york-city,Navy Yard,"(-73.96964371010486, 40.703393000000005)"
518,new-york-city,Neponsit,"(-73.86132886021508, 40.5709585)"
519,new-york-city,New Brighton,"(-74.09088501350644, 40.641667)"
520,new-york-city,New Dorp,"(-74.11374520967742, 40.5723265)"
521,new-york-city,New Dorp Beach,"(-74.10292993715967, 40.5660015)"
522,new-york-city,New Springville,"(-74.15867407067837, 40.5843945)"
523,new-york-city,NoHo,"(-73.99374969350302, 40.726597)"
524,new-york-city,Nolita,"(-73.99550119496855, 40.721555)"
525,new-york-city,North Riverdale,"(-73.90476494776118, 40.907914000000005)"
526,new-york-city,Park Slope,"(-73.97823604857044, 40.674703)"
527,new-york-city,Port Morris,"(-73.90711665855235, 40.804904)"
528,new-york-city,Port Richmond,"(-74.137521228447, 40.6333525)"
529,new-york-city,Prince's Bay,"(-74.19659135282438, 40.522510999999994)"
530,new-york-city,Prospect Heights,"(-73.96857671110607, 40.678333)"
531,new-york-city,Randall Manor,"(-74.11086806533052, 40.636122)"
532,new-york-city,Riverdale,"(-73.91300672621378, 40.8940305)"
533,new-york-city,Silver Lake,"(-74.09479367761394, 40.6239845)"
534,new-york-city,SoHo,"(-74.00219794708993, 40.723721999999995)"
535,new-york-city,Woodrow,"(-74.19301355000002, 40.541641999999996)"
536,new-york-city,Red Hook,"(-74.00748571449908, 40.674219)"
537,new-york-city,Rego Park,"(-73.86212633860725, 40.722970000000004)"
538,new-york-city,Richmond Hill,"(-73.82912622399365, 40.693159)"
539,new-york-city,Richmondtown,"(-74.13242593657543, 40.56987049999999)"
540,new-york-city,Ridgewood,"(-73.90395374251271, 40.702991499999996)"
541,new-york-city,Sea Gate,"(-74.00798695638619, 40.5771615)"
542,new-york-city,Rockaway Beach,"(-73.80997055304137, 40.588077)"
543,new-york-city,Roosevelt Island,"(-73.95032970943127, 40.7612705)"
544,new-york-city,Rosebank,"(-74.07260715044177, 40.6128545)"
545,new-york-city,Rosedale,"(-73.7381343095918, 40.661102)"
546,new-york-city,Rossville,"(-74.20473378701539, 40.550923499999996)"
547,new-york-city,Schuylerville,"(-73.83206878502995, 40.837394)"
548,new-york-city,Sheepshead Bay,"(-73.94957516871031, 40.5979485)"
549,new-york-city,South Beach,"(-74.08476338524977, 40.587573)"
550,new-york-city,South Ozone Park,"(-73.81208333093154, 40.672611)"
551,new-york-city,South Slope,"(-73.98499570055142, 40.664951)"
552,new-york-city,Springfield Gardens,"(-73.75823243321918, 40.6704875)"
553,new-york-city,Spuyten Duyvil,"(-73.91711673812438, 40.881883)"
554,new-york-city,St. Albans,"(-73.76500497589825, 40.6966925)"
555,new-york-city,Tompkinsville,"(-74.08572399186085, 40.628819)"
556,new-york-city,St. George,"(-74.07926762779685, 40.642335)"
557,new-york-city,Stapleton,"(-74.07680429357143, 40.6311835)"
558,new-york-city,Stuyvesant Town,"(-73.97785884236535, 40.731846)"
559,new-york-city,Sunnyside,"(-73.92157835675738, 40.73868)"
560,new-york-city,Van Nest,"(-73.86465325903131, 40.845967)"
561,new-york-city,Sunset Park,"(-74.01152156435327, 40.6521025)"
562,new-york-city,Theater District,"(-73.98489147621439, 40.7588485)"
563,new-york-city,Throgs Neck,"(-73.81539826835291, 40.819987499999996)"
564,new-york-city,Todt Hill,"(-74.10794541464927, 40.594233)"
565,new-york-city,Tottenville,"(-74.23888510974729, 40.508700000000005)"
566,new-york-city,Tremont,"(-73.89350110087523, 40.84559)"
567,new-york-city,Tribeca,"(-74.00774451943869, 40.7182535)"
568,new-york-city,Two Bridges,"(-73.99717540105297, 40.7103885)"
569,new-york-city,Vinegar Hill,"(-73.98257105383023, 40.702312)"
570,new-york-city,Woodside,"(-73.90351946145933, 40.7477775)"
571,new-york-city,Unionport,"(-73.85206453352338, 40.831513)"
572,new-york-city,University Heights,"(-73.91127388175747, 40.8580435)"
573,new-york-city,Upper East Side,"(-73.95545618882258, 40.773184)"
574,new-york-city,Upper West Side,"(-73.97514811743486, 40.7885055)"
575,new-york-city,Windsor Terrace,"(-73.97715799548399, 40.653313)"
576,new-york-city,Wakefield,"(-73.8502264124098, 40.895309999999995)"
577,new-york-city,Washington Heights,"(-73.93801637394068, 40.8447285)"
578,new-york-city,West Brighton,"(-74.11065303406696, 40.6271795)"
579,new-york-city,West Farms,"(-73.88138671941431, 40.8423465)"
580,new-york-city,Woodhaven,"(-73.85684976075927, 40.691865)"
581,new-york-city,Woodlawn,"(-73.87172149970786, 40.8913095)"
582,new-york-city,West Village,"(-74.0045567057898, 40.7351935)"
583,new-york-city,Westchester Square,"(-73.84642441429037, 40.8412825)"
584,new-york-city,Westerleigh,"(-74.13817386294028, 40.62014)"
585,new-york-city,Williamsbridge,"(-73.85507027841095, 40.8782295)"
586,new-york-city,Williamsburg,"(-73.95056307849168, 40.711662000000004)"
587,new-york-city,Willowbrook,"(-74.13995892023777, 40.6004005)"
588,portland,Sullivan's Gulch,"(-122.64129841880734, 45.532454)"
589,portland,Hollywood,"(-122.6200064543516, 45.534582)"
590,portland,Hillside,"(-122.71326363193687, 45.5257115)"
591,portland,Sylvan-Highlands,"(-122.73562718456631, 45.513812)"
592,portland,Arbor Lodge,"(-122.69000689105893, 45.571903)"
593,portland,King,"(-122.65819650924652, 45.556599)"
594,portland,Vernon,"(-122.64900308995212, 45.562236999999996)"
595,portland,Eliot,"(-122.66876867558508, 45.54125)"
596,portland,Bridgeton,"(-122.67303474888226, 45.603426)"
597,portland,Irvington,"(-122.64886777346887, 45.538613)"
598,portland,University Park,"(-122.73028375196685, 45.5752095)"
599,portland,St. Johns,"(-122.75045694854278, 45.618378)"
600,portland,Hayden Island,"(-122.68261627220144, 45.6117645)"
601,portland,Linnton,"(-122.77110645585304, 45.586676499999996)"
602,portland,Kenton,"(-122.70343815232792, 45.5956255)"
603,portland,Forest Park,"(-122.73266082436709, 45.5393935)"
604,portland,Portsmouth,"(-122.72058021088682, 45.586710999999994)"
605,portland,East Columbia,"(-122.66182315119819, 45.593275)"
606,portland,Cathedral Park,"(-122.75882652764858, 45.5878235)"
607,portland,Sunderland,"(-122.63657907550311, 45.5863755)"
608,portland,Alameda,"(-122.63744174311486, 45.550042000000005)"
609,portland,Northwest Industrial,"(-122.73380381199053, 45.5615465)"
610,portland,Piedmont,"(-122.66998409082186, 45.57448)"
611,portland,Woodlawn,"(-122.65243015374165, 45.5729495)"
612,portland,Cully,"(-122.59905999652779, 45.564625)"
613,portland,Overlook,"(-122.69787175388126, 45.557752)"
614,portland,Concordia,"(-122.63197820641655, 45.564567499999995)"
615,portland,Parkrose,"(-122.54927282689465, 45.56168)"
616,portland,Sumner,"(-122.57036144429085, 45.56168)"
617,portland,Argay,"(-122.52404463339539, 45.5567355)"
618,portland,Humboldt,"(-122.67167669621497, 45.5607505)"
619,portland,Boise,"(-122.67022040530603, 45.5490355)"
620,portland,Roseway,"(-122.5890740219306, 45.5484125)"
621,portland,Rose City Park,"(-122.60583710350014, 45.538409)"
622,portland,Maywood Park,"(-122.55887524999966, 45.546282500000004)"
623,portland,Madison South,"(-122.56904102497764, 45.542581)"
624,portland,Parkrose Heights,"(-122.54857111434501, 45.5404815)"
625,portland,Montavilla,"(-122.57510640655113, 45.521007499999996)"
626,portland,Wilkes,"(-122.50099291179771, 45.547174)"
627,portland,Beaumont-Wilshire,"(-122.6228620979131, 45.5499485)"
628,portland,Sabin,"(-122.64882370187689, 45.5531875)"
629,portland,Northwest Heights,"(-122.77381078084926, 45.54124899999999)"
630,portland,Northwest District,"(-122.69991496818182, 45.534042)"
631,portland,Woodland Park,"(-122.55966624048136, 45.535745)"
632,portland,Lloyd District,"(-122.66352257275094, 45.5304085)"
633,portland,Sunnyside,"(-122.62483658411603, 45.517135499999995)"
634,portland,Russell,"(-122.5268248838287, 45.539769)"
635,portland,Grant Park,"(-122.62705277333427, 45.540272)"
636,portland,Pearl,"(-122.68158695272815, 45.53072)"
637,portland,Laurelhurst,"(-122.62446902039494, 45.526889)"
638,portland,Kerns,"(-122.64483151802352, 45.526906999999994)"
639,portland,North Tabor,"(-122.60539087579099, 45.525727)"
640,portland,Hazelwood,"(-122.54129803204971, 45.519096000000005)"
641,portland,Old Town/Chinatown,"(-122.67266153766973, 45.52534)"
642,portland,Arlington Heights,"(-122.70674519110707, 45.5179615)"
643,portland,Goose Hollow,"(-122.69222383031443, 45.518534)"
644,portland,Glenfair,"(-122.50450706870753, 45.52276)"
645,portland,Buckman,"(-122.65324188895028, 45.517886000000004)"
646,portland,Portland Downtown,"(-122.67947258323485, 45.5155365)"
647,portland,Mt. Tabor,"(-122.59885998893276, 45.5133145)"
648,portland,Southwest Hills,"(-122.70563471478755, 45.504267)"
649,portland,Mill Park,"(-122.53905254857409, 45.511586)"
650,portland,Centennial,"(-122.50013243173836, 45.505584999999996)"
651,portland,Hosford-Abernethy,"(-122.65148556652505, 45.5053055)"
652,portland,Richmond,"(-122.62231414429598, 45.50117)"
653,portland,South Portland,"(-122.67627445528123, 45.48643)"
654,portland,Creston-Kenilworth,"(-122.62275742608782, 45.4941995)"
655,portland,Homestead,"(-122.6876621247485, 45.4957815)"
656,portland,South Tabor,"(-122.59387077816947, 45.5011185)"
657,portland,Powellhurst-Gilbert,"(-122.53249169342396, 45.490326499999995)"
658,portland,Brooklyn Action Corps,"(-122.66181996724725, 45.488246000000004)"
659,portland,Hillsdale,"(-122.69402665391414, 45.48093)"
660,portland,Foster-Powell,"(-122.58627707397001, 45.48838)"
661,portland,Southwest Hills,"(-122.69439014716981, 45.490623)"
662,portland,Bridlemile,"(-122.72726190789473, 45.4894245)"
663,portland,Mt. Scott-Arleta,"(-122.59170626489373, 45.483729499999995)"
664,portland,Lents,"(-122.56400716355277, 45.479823499999995)"
665,portland,Pleasant Valley,"(-122.52021950199823, 45.4746085)"
666,portland,Multnomah,"(-122.71170731290175, 45.465136)"
667,portland,Sellwood-Moreland Improvement League,"(-122.65333075399766, 45.473206)"
668,portland,Reed,"(-122.63257030406797, 45.4863155)"
669,portland,Woodstock,"(-122.61244957105387, 45.477753)"
670,portland,Markham,"(-122.70652762622893, 45.4562865)"
671,portland,Hayhurst,"(-122.72585998608616, 45.481624499999995)"
672,portland,Eastmoreland,"(-122.6313709883826, 45.4729545)"
673,portland,Maplewood,"(-122.73341526455891, 45.4720455)"
674,portland,Brentwood-Darlington,"(-122.59752211285266, 45.46968)"
675,portland,South Burlingame,"(-122.68270519961871, 45.467278)"
676,portland,West Portland Park,"(-122.72205455895613, 45.447217499999994)"
677,portland,Ardenwald-Johnson Creek,"(-122.6306238725077, 45.461962)"
678,portland,Marshall Park,"(-122.69515358492791, 45.454499999999996)"
679,portland,Ashcreek,"(-122.73854755842912, 45.453933000000006)"
680,portland,Collins View,"(-122.68264952128851, 45.4530075)"
681,portland,Ardenwald-Johnson Creek,"(-122.60938989430934, 45.4610895)"
682,portland,Crestwood,"(-122.72920958684546, 45.453259)"
683,portland,Arnold Creek,"(-122.69817225169123, 45.4408385)"
684,portland,Far Southwest,"(-122.73525972213115, 45.439806000000004)"
685,san-mateo-county,Half Moon Bay,"(-122.43526193354349, 37.472817500000005)"
686,san-mateo-county,Redwood City,"(-122.20384026195413, 37.5105445)"
687,san-mateo-county,Pacifica,"(-122.47451301296402, 37.61651)"
688,san-mateo-county,South San Francisco,"(-122.33630476023268, 37.6538175)"
689,san-mateo-county,Daly City,"(-122.48343640723272, 37.6782795)"
690,san-mateo-county,Brisbane,"(-122.33674096986682, 37.6863375)"
691,san-mateo-county,Foster City,"(-122.26376679429669, 37.5688905)"
692,san-mateo-county,Woodside,"(-122.25664527988853, 37.416411499999995)"
693,san-mateo-county,Redwood City,"(-122.26303181718114, 37.463429000000005)"
694,san-mateo-county,Redwood City,"(-122.26005741405757, 37.4655125)"
695,san-mateo-county,Atherton,"(-122.20692500614491, 37.449366999999995)"
696,san-mateo-county,San Carlos,"(-122.26123738688543, 37.49804949999999)"
697,san-mateo-county,Belmont,"(-122.2977572846247, 37.5154675)"
698,san-mateo-county,Hillsborough,"(-122.3576903441224, 37.555486)"
699,san-mateo-county,San Bruno,"(-122.42906933050591, 37.6230465)"
700,san-mateo-county,Colma,"(-122.45565484827216, 37.6766225)"
701,san-mateo-county,Portola Valley,"(-122.22551467888445, 37.3697425)"
702,san-mateo-county,Menlo Park,"(-122.10332624204361, 37.475325)"
703,san-mateo-county,San Mateo,"(-122.3074632015984, 37.5563095)"
704,san-mateo-county,Burlingame,"(-122.36351100735895, 37.587283)"
705,san-mateo-county,Millbrae,"(-122.40248518358811, 37.598739)"
706,san-mateo-county,East Palo Alto,"(-122.13426618957703, 37.467170499999995)"
707,san-mateo-county,Unincorporated Areas,"(-122.37161249462366, 37.3801905)"
708,pacific-grove,Pacific Grove,"(-121.92238069672025, 36.617622)"
709,san-diego,Amphitheater And Water Park,"(-117.00832366075541, 32.58546)"
710,san-diego,Bella Lago,"(-116.93053632760424, 32.6732085)"
711,san-diego,Bonita Long Canyon,"(-117.00036417910891, 32.6571665)"
712,san-diego,East Lake,"(-116.98184076233267, 32.6561815)"
713,san-diego,Eastlake Trails,"(-116.94972902277708, 32.639668)"
714,san-diego,Eastlake Vistas,"(-116.93854456595759, 32.6371895)"
715,san-diego,Eastlake Woods,"(-116.9457742680921, 32.653562)"
716,san-diego,Estlake Greens,"(-116.96296362286753, 32.6387905)"
717,san-diego,Fenton St,"(-116.96099195698687, 32.652409)"
718,san-diego,Golf Course,"(-116.95553026085742, 32.6758475)"
719,san-diego,Lynwood Hills,"(-117.03109496503288, 32.63053)"
720,san-diego,Otay Ranch,"(-116.96703128526303, 32.610178)"
721,san-diego,Northwest,"(-117.08060878723406, 32.6372015)"
722,san-diego,Yosemite Dr,"(-116.95189450295115, 32.651790500000004)"
723,san-diego,Allied Gardens,"(-117.09091041416018, 32.807660999999996)"
724,san-diego,Paseo Ranchoero,"(-117.01007376594413, 32.6307995)"
725,san-diego,Rancho Del Rey,"(-117.017870208159, 32.6448715)"
726,san-diego,Rolling Hills Ranch,"(-116.95867410946894, 32.6673105)"
727,san-diego,Alta Vista,"(-117.05869692121536, 32.694342)"
728,san-diego,Balboa Park,"(-117.1444558762496, 32.7283615)"
729,san-diego,Southwest,"(-117.06758397697675, 32.6078225)"
730,san-diego,Sunbow,"(-117.02242115430528, 32.616022)"
731,san-diego,Terra Nova,"(-117.04435358388844, 32.642458000000005)"
732,san-diego,Thomy Locust Pl,"(-116.93616372805059, 32.626504)"
733,san-diego,Village Center,"(-116.96828374095273, 32.649582)"
734,san-diego,Bario Logan,"(-117.12858639635594, 32.690201)"
735,san-diego,Bay Ho,"(-117.21886808061674, 32.823696999999996)"
736,san-diego,Bay Park,"(-117.19843189119487, 32.791853)"
737,san-diego,Bay Terrace,"(-117.03485949947344, 32.689704)"
738,san-diego,Bird Land,"(-117.15423048222124, 32.7908515)"
739,san-diego,Carmel Mountain,"(-117.07610596292372, 32.981237)"
740,san-diego,Carmel Valley,"(-117.20602126712211, 32.9380175)"
741,san-diego,Chollas View,"(-117.09339991068796, 32.7139575)"
742,san-diego,City Heights East,"(-117.09034326396127, 32.7440645)"
743,san-diego,City Heights West,"(-117.10860296028046, 32.74078299999999)"
744,san-diego,Clairemont Mesa,"(-117.17687852554428, 32.813646)"
745,san-diego,College Area,"(-117.06247873238577, 32.7692955)"
746,san-diego,Columbia,"(-117.16957030194386, 32.718516)"
747,san-diego,Core,"(-117.15906899999999, 32.715916)"
748,san-diego,Cortez Hill,"(-117.16063930504382, 32.7214925)"
749,san-diego,Darnall,"(-117.06048753724794, 32.7495825)"
750,san-diego,Del Cerro,"(-117.07461136466458, 32.786696)"
751,san-diego,Marina,"(-117.16696005739936, 32.710358)"
752,san-diego,Del Mar Heights,"(-117.25041428869969, 32.9562325)"
753,san-diego,East Village,"(-117.15350365857012, 32.709365000000005)"
754,san-diego,Egger Highlands,"(-117.09824356739978, 32.5814785)"
755,san-diego,El Cerritos,"(-117.07214164518751, 32.753761499999996)"
756,san-diego,Emerald Hills,"(-117.07640847813268, 32.716646)"
757,san-diego,Memorial,"(-117.12993327221756, 32.69865)"
758,san-diego,Encanto,"(-117.05786375, 32.7134415)"
759,san-diego,Gaslamp Quarter,"(-117.160268, 32.709482)"
760,san-diego,Gateway,"(-117.10943133449479, 32.724655999999996)"
761,san-diego,Grant Hill,"(-117.13377082915636, 32.7105935)"
762,san-diego,Grantville,"(-117.10453260313889, 32.7951195)"
763,san-diego,Horton Plaza,"(-117.16435664983119, 32.714774)"
764,san-diego,Jomacha-Lomita,"(-117.03378409565917, 32.7137735)"
765,san-diego,Kearny Mesa,"(-117.14147199908456, 32.8272465)"
766,san-diego,Kensington,"(-117.1040481287825, 32.7666515)"
767,san-diego,Midtown,"(-117.16474580205048, 32.74286)"
768,san-diego,Moreno Mission,"(-117.19193778023245, 32.771449)"
769,san-diego,La Jolla,"(-117.2577071348052, 32.838492)"
770,san-diego,La Jolla Village,"(-117.23366848432056, 32.860406)"
771,san-diego,Lake Murray,"(-117.02939880596426, 32.8115325)"
772,san-diego,Lincoln Park,"(-117.0903104597071, 32.6948965)"
773,san-diego,Linda Vista,"(-117.17374833422406, 32.783383)"
774,san-diego,Little Italy,"(-117.17023390036128, 32.725592)"
775,san-diego,Loma Portal,"(-117.23352875952827, 32.744116)"
776,san-diego,Midtown District,"(-117.19767474310737, 32.7339515)"
777,san-diego,Mira Mesa,"(-117.14134835098253, 32.910363000000004)"
778,san-diego,Miramar,"(-117.14102004474167, 32.8614645)"
779,san-diego,Mission Bay,"(-116.98854320863292, 32.567322000000004)"
780,san-diego,Mission Valley,"(-117.15912969305019, 32.768256)"
781,san-diego,Mount Hope,"(-117.10960425224769, 32.7100255)"
782,san-diego,Mountain View,"(-117.108055333847, 32.6983565)"
783,san-diego,Nestor,"(-117.08397471724278, 32.567045500000006)"
784,san-diego,Normal Heights,"(-117.1204306402439, 32.766701499999996)"
785,san-diego,North City,"(-117.21362964900442, 32.9679175)"
786,san-diego,North Clairemont,"(-117.2056472389159, 32.8339575)"
787,san-diego,North Hills,"(-117.13373472601825, 32.745883000000006)"
788,san-diego,Oak Park,"(-117.0699753512343, 32.7323375)"
789,san-diego,Ocean Beach,"(-117.25029396238097, 32.740701)"
790,san-diego,Old Town,"(-117.18627374042697, 32.74920899999999)"
791,san-diego,Pacific Beach,"(-117.23892823076923, 32.807838000000004)"
792,san-diego,Palm City,"(-117.07968481831477, 32.585904)"
793,san-diego,Paradise Hills,"(-117.05541012756305, 32.6759555)"
794,san-diego,Park West,"(-117.16453032062147, 32.729350499999995)"
795,san-diego,Rancho Bernadino,"(-117.07021897499088, 33.034192000000004)"
796,san-diego,Rancho Penasquitos,"(-117.12924454180289, 32.976596)"
797,san-diego,Rolando,"(-117.060165408488, 32.7610595)"
798,san-diego,Roseville,"(-117.2310282404138, 32.732226499999996)"
799,san-diego,Sabre Springs,"(-117.08471566060277, 32.954274)"
800,san-diego,San Carlos,"(-117.05376985845446, 32.796955499999996)"
801,san-diego,San Ysidro,"(-117.04223309396049, 32.553702)"
802,san-diego,Scripps Ranch,"(-117.05575340972604, 32.8902095)"
803,san-diego,Serra Mesa,"(-117.13094058131693, 32.7912475)"
804,san-diego,Sky Line,"(-117.03778188659058, 32.704946)"
805,san-diego,Sorrento Valley,"(-117.19324694394156, 32.884598499999996)"
806,san-diego,South Park,"(-117.12449793882266, 32.721531999999996)"
807,san-diego,Southcrest,"(-117.10962550356953, 32.6894955)"
808,san-diego,Talmadge,"(-117.09043171998607, 32.764050999999995)"
809,san-diego,Tierrasanta,"(-117.07855800782362, 32.832538)"
810,san-diego,Tijuana River Valley,"(-117.09169843419895, 32.5470265)"
811,san-diego,Torrey Pines,"(-117.23936767510904, 32.904545999999996)"
812,san-diego,University City,"(-117.20836001256691, 32.862973499999995)"
813,san-diego,Valencia Park,"(-117.07670227649456, 32.7025705)"
814,san-diego,Webster,"(-117.09090782536967, 32.728325)"
815,san-diego,West University Heights,"(-117.15032459402406, 32.7588645)"
816,san-diego,Wooded Area,"(-117.24725707538869, 32.697065)"
817,boston,Roslindale,"(-71.12383782091348, 42.283107)"
818,boston,Jamaica Plain,"(-71.11741232914225, 42.308237000000005)"
819,boston,Mission Hill,"(-71.10414971549534, 42.3318075)"
820,boston,Longwood Medical Area,"(-71.10484860564515, 42.3390285)"
821,boston,Bay Village,"(-71.06871048757765, 42.34934)"
822,boston,Leather District,"(-71.05790444741814, 42.350900499999995)"
823,boston,Chinatown,"(-71.06122652079672, 42.3492175)"
824,boston,North End,"(-71.053920440387, 42.365300500000004)"
825,boston,Roxbury,"(-71.08558212455426, 42.3167735)"
826,boston,South End,"(-71.07226884977932, 42.340106500000005)"
827,boston,Back Bay,"(-71.08136028323062, 42.349241)"
828,boston,East Boston,"(-71.02819106962025, 42.371839)"
829,boston,Charlestown,"(-71.06329139287689, 42.379532)"
