,neighborhood,city,population,density,family_size,income_household_median,income_individual_median,home_ownership,housing_units,home_value,rent_median,rent_burden,labor_force_participation,unemployment_rate,poverty,total_units,rent_per_month,hh_income,price
30,78702.0,austin,24830.0,1915.1,3.02,82176.0,40799.0,43.5,11093.0,462042.0,1558.0,31.3,72.6,4.9,21.1,1449,319.0,,307.7724215246637
31,78703.0,austin,22111.0,1518.4,2.79,125448.0,68999.0,50.0,10865.0,1030102.0,1993.0,29.6,76.8,4.2,5.7,4,-4.0,,359.5036496350365
32,78704.0,austin,49854.0,2196.2,2.72,82641.0,53886.0,31.4,26619.0,631721.0,1532.0,26.9,81.6,4.4,11.6,1141,375.0,,296.11195700850874
33,78705.0,austin,32506.0,6063.0,2.51,23750.0,7521.0,9.1,8910.0,430743.0,1435.0,79.5,48.3,9.3,55.8,2,-4.0,,219.29661016949152
34,78717.0,austin,34087.0,1008.9,3.24,120027.0,60096.0,57.1,12736.0,424639.0,1486.0,25.5,75.5,3.8,4.7,11,-4.0,,156.19117647058823
35,78721.0,austin,10728.0,1161.0,3.12,61462.0,33995.0,53.6,4130.0,348173.0,1405.0,41.0,70.2,5.2,21.9,490,365.0,,197.50623441396507
36,78722.0,austin,5938.0,1691.6,2.77,85137.0,53119.0,47.9,3048.0,482740.0,1470.0,26.3,81.4,7.2,11.5,50,417.0,,224.1549295774648
37,78723.0,austin,36114.0,1975.4,3.23,76535.0,40129.0,48.7,14496.0,390959.0,1270.0,35.3,75.0,3.1,14.3,722,349.0,,213.46450304259636
38,78724.0,austin,25936.0,401.5,3.65,58631.0,28051.0,67.0,7611.0,146006.0,1325.0,37.6,69.5,6.2,17.3,642,480.0,,155.93170731707318
39,78725.0,austin,9082.0,198.4,3.05,78420.0,46646.0,87.8,3503.0,206449.0,1898.0,38.9,73.9,1.4,6.8,65,724.0,,290.18888888888887
40,78726.0,austin,13414.0,447.1,2.91,84105.0,56888.0,44.8,5769.0,493849.0,1460.0,28.3,73.0,4.2,9.5,56,536.0,,182.4375
41,78727.0,austin,29991.0,1490.5,2.93,91375.0,53100.0,45.6,13304.0,341108.0,1584.0,27.9,75.4,6.1,6.1,142,443.0,,152.231884057971
42,78728.0,austin,25359.0,1263.6,2.64,64054.0,43726.0,28.2,12665.0,304595.0,1267.0,29.5,80.0,3.1,14.0,236,500.0,,142.37007874015748
43,78729.0,austin,30907.0,1216.1,2.83,76615.0,50722.0,42.5,14329.0,333800.0,1392.0,27.1,77.9,3.9,5.5,45,475.0,,141.7311827956989
44,78730.0,austin,9455.0,242.3,3.0,122243.0,79558.0,63.0,3997.0,797628.0,1412.0,21.4,69.8,2.0,2.5,1,-4.0,,748.1794871794872
45,78731.0,austin,26506.0,1170.2,2.75,92641.0,57145.0,53.9,13148.0,670355.0,1396.0,31.7,66.9,3.5,8.7,25,396.0,,429.91279069767444
46,78734.0,austin,21625.0,440.9,2.76,116955.0,56709.0,81.1,9164.0,468920.0,1828.0,29.1,61.6,4.5,6.0,2,-4.0,,405.84615384615387
47,78735.0,austin,19152.0,366.2,2.88,105132.0,61039.0,48.7,8644.0,636494.0,1726.0,29.1,73.6,5.2,11.1,22,397.0,,470.69642857142856
48,78736.0,austin,9481.0,164.2,2.96,92976.0,48125.0,69.3,3854.0,404672.0,1664.0,30.4,68.3,4.7,7.0,4,-4.0,,276.26666666666665
49,78737.0,austin,24783.0,262.6,3.46,139869.0,59690.0,89.3,7610.0,515419.0,1829.0,23.5,67.8,6.5,5.7,1,-4.0,,394.89784946236557
50,78741.0,austin,46147.0,2287.5,3.11,54422.0,32056.0,18.4,21432.0,255672.0,1240.0,29.4,81.1,4.6,24.3,844,380.0,,175.22427983539094
51,78742.0,austin,1099.0,71.8,4.88,63750.0,28349.0,65.8,307.0,0.0,1091.0,17.2,68.6,0.0,8.8,1,-4.0,,144.25
52,78744.0,austin,48524.0,828.9,3.39,65262.0,33668.0,49.9,17126.0,207061.0,1320.0,32.6,78.1,5.3,13.8,771,487.0,,183.76814988290397
53,78745.0,austin,62277.0,1750.5,2.84,72439.0,42725.0,47.4,28447.0,339549.0,1435.0,30.1,75.4,2.9,11.6,651,380.0,,184.07436918990703
54,78747.0,austin,20698.0,359.6,3.38,86862.0,39559.0,80.3,7143.0,257575.0,1698.0,20.3,75.0,7.1,3.8,167,482.0,,251.4296875
55,78748.0,austin,53501.0,1461.5,2.97,89480.0,50657.0,55.8,22407.0,325362.0,1558.0,30.9,77.2,3.6,8.1,226,514.0,,161.40650406504065
56,78749.0,austin,35933.0,1432.8,2.88,112813.0,61271.0,63.9,15372.0,395222.0,1599.0,24.2,72.5,4.9,5.3,61,-5.0,,257.45222929936307
57,78750.0,austin,29559.0,967.3,3.11,108686.0,53503.0,62.4,11634.0,443068.0,1612.0,27.2,74.5,4.6,4.5,10,-4.0,,302.36708860759495
58,78751.0,austin,15856.0,2534.7,2.47,67552.0,42363.0,22.7,8550.0,526234.0,1458.0,31.3,84.5,4.3,15.5,35,353.0,,138.09800362976407
59,78752.0,austin,21178.0,2450.5,3.09,51630.0,33201.0,20.7,9755.0,288640.0,1230.0,33.3,77.5,5.6,18.2,200,317.0,,125.97388059701493
60,78753.0,austin,58805.0,2000.9,3.35,55132.0,31203.0,34.9,22306.0,242223.0,1221.0,30.2,73.3,4.4,16.6,1009,391.0,,153.53535353535352
61,78754.0,austin,29690.0,757.3,3.41,83043.0,45289.0,62.1,10990.0,242454.0,1382.0,31.4,76.2,2.6,13.2,191,553.0,,155.87037037037038
62,78756.0,austin,9314.0,2152.7,2.65,87985.0,45682.0,44.4,4389.0,601071.0,1185.0,27.2,75.2,3.1,12.8,155,282.0,,187.88888888888889
63,78757.0,austin,25547.0,1992.2,3.12,87434.0,51747.0,59.5,11082.0,481615.0,1346.0,28.5,73.3,4.8,9.4,167,383.0,,188.66923076923078
64,78758.0,austin,50717.0,2155.0,3.15,63283.0,38622.0,26.2,22641.0,296407.0,1340.0,28.7,77.6,5.1,20.5,569,378.0,,147.54631828978623
65,78759.0,austin,44978.0,1218.6,2.78,90246.0,54438.0,46.9,21605.0,490542.0,1394.0,26.2,74.4,5.4,5.4,68,470.0,,208.78212290502793
66,Bayou St. John,new-orleans,36969.0,3159.6,3.19,42922.0,31006.0,35.8,16864.0,299745.0,1150.0,39.5,60.2,6.2,24.0,2364,350.0,,168.01470588235293
67,Behrman,new-orleans,21911.0,1674.1,3.59,31779.0,20987.0,43.6,9622.0,170634.0,962.0,53.6,57.7,8.6,25.3,2389,379.0,,124.13333333333334
68,Broadmoor,new-orleans,19264.0,3176.5,3.61,52307.0,24874.0,42.9,6515.0,362137.0,1129.0,43.4,59.5,10.0,23.5,946,371.0,,159.72131147540983
69,Bywater,new-orleans,27009.0,1894.5,3.55,33374.0,23667.0,46.6,12145.0,219575.0,1041.0,54.5,60.1,12.1,30.3,2104,375.0,,169.38388625592418
70,Central Business District,new-orleans,3869.0,1520.3,3.22,32654.0,30088.0,9.9,2205.0,438977.0,985.0,38.4,63.2,4.9,35.4,892,327.0,,251.57572115384616
71,Central City,new-orleans,8427.0,3554.4,3.82,26189.0,19697.0,20.3,3748.0,183789.0,819.0,46.0,52.5,9.3,32.3,1229,178.5,,234.63875205254516
72,East Carrollton,new-orleans,35699.0,2980.3,3.36,54046.0,23040.0,49.5,12880.0,361707.0,1090.0,42.6,60.1,7.8,24.0,909,395.0,,165.08955223880596
73,Lake Catherine,new-orleans,10696.0,45.4,4.39,39354.0,25485.0,68.8,3067.0,152922.0,1061.0,64.1,56.8,14.1,25.7,789,296.0,,322.2608695652174
74,Lakeview,new-orleans,19578.0,1132.2,3.18,104563.0,52859.0,71.4,7867.0,484044.0,1556.0,28.8,72.3,3.8,6.3,49,312.0,,172.75
75,Lower Garden District,new-orleans,13478.0,2438.8,2.83,65778.0,43660.0,35.0,7268.0,490811.0,1256.0,31.7,73.9,4.0,18.7,970,337.0,,215.55434782608697
76,New Aurora - English Turn,new-orleans,27160.0,895.4,3.56,56464.0,34467.0,59.0,10847.0,197202.0,1005.0,29.7,62.2,6.6,16.7,689,472.0,,159.5
77,Pines Village,new-orleans,31168.0,996.5,4.14,31235.0,20667.0,46.1,10691.0,158629.0,1042.0,57.3,57.0,13.2,35.3,2555,378.0,,122.77777777777777
78,Read Blvd East,new-orleans,22307.0,1805.7,3.97,39400.0,26390.0,61.4,7917.0,186516.0,1091.0,64.0,58.1,10.9,27.9,1104,436.0,,363.4
79,Seventh Ward,new-orleans,10901.0,3321.6,3.23,41077.0,31150.0,39.3,5730.0,331283.0,1111.0,39.7,63.3,11.4,27.7,918,329.0,,181.41964285714286
80,St.  Anthony,new-orleans,35886.0,2210.2,3.7,41309.0,27048.0,55.6,14939.0,230702.0,1058.0,58.8,59.0,8.6,22.1,2148,421.0,,159.5151515151515
81,Uptown,new-orleans,34261.0,3439.2,3.28,80672.0,45435.0,54.5,14437.0,505150.0,1242.0,27.6,69.5,5.6,13.3,864,375.0,,225.6782608695652
82,West Lake Forest,new-orleans,25177.0,1777.1,3.96,28283.0,20522.0,44.2,9714.0,162532.0,951.0,62.8,56.5,10.7,31.1,2340,391.0,,294.0
83,Alhambra,los-angeles,83199.0,4140.4,6.53,72916.5,32598.5,41.7,30082.0,1306793.0,1619.0,33.1,62.45,5.05,13.45,835,338.6666666666667,,184.91030534351145
84,Altadena,los-angeles,36867.0,1723.3,3.46,114668.0,44271.0,77.5,12330.0,885677.0,1824.0,34.5,64.3,7.9,5.8,106,272.5,,212.84279475982532
85,Angeles Crest,los-angeles,149479.0,177.16666666666666,10.7,65153.0,28575.0,62.76666666666667,41262.0,1117960.0,1441.3333333333333,41.333333333333336,58.93333333333334,6.766666666666666,16.333333333333332,2603,337.0,,161.5
86,Arcadia,los-angeles,66188.0,2157.1499999999996,6.6,100578.0,43318.0,61.85,22172.0,2117349.0,1814.0,34.099999999999994,59.4,5.300000000000001,8.75,223,499.5,,166.52073732718895
87,Artesia,los-angeles,16390.0,3886.1,3.9,83321.0,28733.0,53.3,4417.0,637048.0,1856.0,30.7,60.7,8.8,6.7,21,571.0,,331.258064516129
88,Atwater Village,los-angeles,28839.0,3059.2,3.23,99226.0,43904.0,44.2,11992.0,979747.0,1887.0,28.2,69.5,6.8,9.1,101,485.0,,222.71186440677965
89,Avocado Heights,los-angeles,29525.0,1962.4,4.39,79042.0,28374.0,76.6,6981.0,488646.0,1491.0,33.6,61.5,7.0,9.4,267,460.0,,112.91304347826087
90,Baldwin Hills/Crenshaw,los-angeles,31046.0,4142.9,3.27,49379.0,31450.0,33.3,14425.0,777151.0,1377.0,44.0,62.6,9.2,19.8,2899,423.0,,187.56435643564356
91,Baldwin Park,los-angeles,73652.0,2101.8,4.37,72737.0,25849.0,59.7,17857.0,465695.0,1617.0,34.8,63.6,6.8,13.0,667,516.0,,114.1896551724138
92,Bell,los-angeles,96605.0,6229.1,4.29,49554.0,22118.0,22.9,23847.0,436606.0,1368.0,36.9,61.7,6.8,25.7,957,491.0,,98.86363636363636
93,Bellflower,los-angeles,79070.0,5000.5,3.76,70236.0,31170.0,38.0,24018.0,533962.0,1570.0,33.8,68.1,7.8,12.7,787,224.5,,177.01388888888889
94,Beverly Crest,los-angeles,19627.0,705.4,3.17,154740.0,66380.0,74.6,7947.0,2000001.0,2872.0,48.9,52.1,4.4,8.7,142,375.0,,1683.1684782608695
95,Beverly Grove,los-angeles,20504.0,4180.5,2.57,102567.0,65860.0,30.1,11474.0,1373049.0,2162.0,31.3,71.9,6.3,9.2,69,399.0,,453.79816513761466
96,Beverly Hills,los-angeles,20201.0,4780.2,6.01,90804.5,56796.5,28.55,9304.0,4000002.0,2368.0,36.25,65.35,9.75,10.649999999999999,12,-4.0,,622.380187416332
97,Boyle Heights,los-angeles,93227.0,4843.65,8.31,49013.5,22741.5,23.450000000000003,25072.0,1016749.0,1228.0,34.0,60.25,8.5,23.200000000000003,2796,605.5,,102.04716981132076
98,Brentwood,los-angeles,35853.0,924.6,2.99,143000.0,77542.0,53.8,16116.0,2000001.0,2554.0,27.6,69.0,4.2,6.3,12,-4.0,,448.2009132420091
99,Burbank,los-angeles,111462.0,2566.8599999999997,15.77,79716.4,40077.8,40.739999999999995,44682.0,4051870.0,1834.6,36.7,66.4,6.640000000000001,11.440000000000001,1611,458.6,,243.87940630797775
100,Calabasas,los-angeles,26241.0,369.1,3.09,146521.0,62049.0,69.8,9761.0,1350273.0,2620.0,46.1,62.2,9.9,9.6,14,492.0,,341.20661157024796
101,Canoga Park,los-angeles,29965.0,5469.1,3.63,66494.0,29921.0,22.4,9887.0,536899.0,1754.0,37.5,73.8,7.3,16.7,221,465.0,,386.4788732394366
102,Carson,los-angeles,86394.0,2305.25,7.74,95349.0,35808.5,76.69999999999999,23884.0,1099958.0,2029.0,37.65,61.2,7.35,8.4,430,415.0,,147.06060606060606
103,Castaic Canyons,los-angeles,52903.0,760.5,7.01,111910.5,43148.0,81.15,16668.0,1108678.0,2097.5,39.349999999999994,65.1,5.15,7.45,62,211.0,,262.5135135135135
104,Cerritos,los-angeles,49989.0,2206.2,3.44,115272.0,42463.0,75.8,15687.0,762114.0,2459.0,28.9,58.5,5.9,5.0,17,829.0,,130.8181818181818
105,Chinatown,los-angeles,39709.0,4214.4,2.92,53278.0,26225.0,6.1,14361.0,633598.0,1859.0,44.1,48.1,9.2,25.9,2137,442.0,,160.93333333333334
106,Claremont,los-angeles,36841.0,952.4,3.13,112430.0,44180.0,67.5,12452.0,715093.0,1828.0,32.6,60.2,6.2,4.6,272,489.0,,190.02564102564102
107,Commerce,los-angeles,11844.0,821.3,4.0,56948.0,26710.0,55.7,3424.0,447926.0,1156.0,40.5,53.9,6.6,16.2,340,410.0,,280.8
108,Compton,los-angeles,135869.0,3773.1333333333337,13.2,62263.333333333336,26623.0,56.166666666666664,34746.0,1224047.0,1313.0,40.43333333333333,61.9,7.633333333333333,17.333333333333332,2286,369.0,,179.92857142857142
109,Covina,los-angeles,83421.0,2734.2333333333336,11.02,83786.33333333333,34528.0,59.70000000000001,25558.0,1702675.0,1700.6666666666667,32.63333333333333,68.86666666666666,7.2,8.9,749,529.6666666666666,,207.02020202020202
110,Culver City,los-angeles,48962.0,2799.25,6.32,101384.5,58779.5,49.2,20893.0,2059480.0,2187.0,31.0,69.44999999999999,5.6,9.65,1122,312.5,,229.82882882882882
111,Del Rey,los-angeles,0.0,,0.0,,,,0.0,0.0,,,,,,1,-4.0,,189.32441471571906
112,Diamond Bar,los-angeles,46270.0,961.9,3.41,99705.0,41271.0,77.9,15119.0,709687.0,2193.0,40.6,62.5,5.5,8.6,88,498.0,,149.35507246376812
113,Downey,los-angeles,114293.0,3542.566666666667,11.06,80544.66666666667,33609.0,51.26666666666667,34497.0,1828492.0,1689.6666666666667,32.43333333333334,65.66666666666667,6.033333333333334,9.1,495,527.3333333333334,,143.2905982905983
114,Downtown,los-angeles,48912.0,6105.475,11.120000000000001,33012.25,24602.0,6.65,26727.0,1400297.0,1291.25,54.15,62.575,10.0,38.099999999999994,3964,240.2,,189.24671307037897
115,Duarte,los-angeles,27008.0,1621.5,3.69,88357.0,31581.0,64.4,8462.0,560769.0,1820.0,35.0,62.7,6.7,9.3,408,201.5,,146.25581395348837
116,Eagle Rock,los-angeles,28956.0,3110.8,3.29,95811.0,39705.0,51.4,10001.0,885843.0,1627.0,28.5,66.0,6.0,10.4,445,399.0,,200.94736842105263
117,East Hollywood,los-angeles,35037.0,9830.4,3.46,50822.0,26674.0,11.3,13218.0,901780.0,1367.0,34.3,69.5,10.1,21.1,1249,197.5,,193.06766917293234
118,East Los Angeles,los-angeles,118064.0,5954.450000000001,8.48,57245.0,25574.5,36.2,30882.0,951713.0,1230.0,32.150000000000006,62.5,7.05,17.35,1684,517.5,,198.79642857142858
119,East San Gabriel,los-angeles,24079.0,2999.6,3.48,99362.0,39722.0,64.1,7992.0,862613.0,1789.0,36.4,60.9,6.0,10.0,25,453.0,,127.2482269503546
120,Echo Park,los-angeles,65921.0,6316.1,3.46,70436.0,35058.0,24.0,25968.0,957633.0,1497.0,28.3,71.8,8.1,17.9,1007,431.0,,172.15196078431373
121,El Monte,los-angeles,87993.0,3977.45,8.16,55820.5,22791.0,40.15,23188.0,1016568.0,1436.0,37.150000000000006,61.6,7.15,17.8,1155,476.5,,117.7410358565737
122,El Segundo,los-angeles,17243.0,1244.9,3.03,126683.0,64248.0,42.0,7070.0,1265284.0,2210.0,24.6,75.8,6.0,4.5,2,-4.0,,187.921875
123,El Sereno,los-angeles,45298.0,3632.4,3.83,65761.0,26291.0,52.1,13314.0,604566.0,1351.0,33.3,62.7,9.3,16.2,647,577.0,,136.4512195121951
124,Encino,los-angeles,28182.0,1993.8,2.97,79858.0,48036.0,50.9,12372.0,725532.0,1886.0,36.7,65.7,8.1,8.6,128,443.0,,510.8488888888889
125,Fairfax,los-angeles,37596.0,5911.0,3.02,87868.0,55759.0,15.9,18990.0,1625048.0,2393.0,34.9,76.9,8.6,10.6,109,377.0,,377.76408450704224
126,Florence,los-angeles,75190.0,8007.9,4.58,47733.0,22187.0,27.3,17759.0,427472.0,1293.0,37.6,60.9,9.4,26.6,2933,567.0,,254.5
127,Florence-Firestone,los-angeles,58245.0,6856.0,4.66,52806.0,24092.0,35.6,13421.0,424950.0,1262.0,35.2,63.3,9.9,22.2,827,497.0,,107.10810810810811
128,Gardena,los-angeles,74575.0,4184.45,7.1,67634.0,31276.5,48.35,24951.0,1120699.0,1429.0,35.05,64.95,5.449999999999999,11.85,1096,484.5,,124.14102564102564
129,Glassell Park,los-angeles,46432.0,3265.3,3.4,80386.0,33916.0,46.7,16180.0,834116.0,1588.0,32.3,70.5,7.9,13.7,530,434.0,,172.96428571428572
130,Glendale,los-angeles,176794.0,5292.555555555556,28.49,76706.625,33810.333333333336,31.877777777777776,66699.0,6700279.0,1829.111111111111,37.8875,56.266666666666666,7.088888888888889,12.211111111111112,2141,438.22222222222223,,210.9090909090909
131,Glendora,los-angeles,53839.0,1305.8999999999999,6.88,103210.5,39661.5,69.5,17305.0,1338138.0,1863.0,33.900000000000006,63.349999999999994,5.800000000000001,7.45,157,424.5,,172.80232558139534
132,Gramercy Park,los-angeles,51494.0,4224.2,3.73,62399.0,30270.0,55.7,16853.0,518877.0,1310.0,45.9,61.4,9.1,15.4,2195,535.0,,214.77777777777777
133,Granada Hills,los-angeles,54465.0,1454.1,3.48,104640.0,39660.0,72.8,17529.0,690114.0,2016.0,39.4,62.0,7.4,7.3,335,434.0,,428.65263157894736
134,Griffith Park,los-angeles,44678.0,2123.2,2.97,78356.0,42474.0,20.3,21133.0,1321541.0,1684.0,30.1,73.7,8.0,12.9,1769,400.0,,98.8
135,Hacienda Heights,los-angeles,54853.0,1635.4,3.55,94608.0,34723.0,76.7,16309.0,647232.0,1952.0,34.0,60.5,5.5,8.4,146,444.0,,109.64827586206897
136,Harbor City,los-angeles,27998.0,4630.7,3.6,68537.0,30498.0,54.2,9150.0,486086.0,1321.0,29.9,63.4,8.0,12.0,733,647.0,,157.89655172413794
137,Harbor Gateway,los-angeles,11472.0,932.0,3.45,69645.0,30516.0,66.9,3857.0,567224.0,1410.0,30.5,62.9,4.3,7.9,56,588.0,,120.53731343283582
138,Hawaiian Gardens,los-angeles,14050.0,5888.3,4.16,66537.0,26235.0,44.8,3659.0,428593.0,1584.0,37.4,63.9,5.7,17.4,314,438.0,,103.875
139,Hawthorne,los-angeles,96730.0,5518.2,3.7,65935.0,31929.0,31.7,31962.0,661430.0,1465.0,32.1,69.7,7.5,14.7,860,534.0,,169.25155279503105
140,Hermosa Beach,los-angeles,19787.0,5344.7,2.88,144388.0,83455.0,50.8,8926.0,1675865.0,2498.0,22.9,73.2,4.2,4.5,4,-4.0,,390.2682926829268
141,Highland Park,los-angeles,59658.0,5096.9,3.51,81853.0,34937.0,45.3,20844.0,731948.0,1581.0,29.5,70.2,8.1,11.0,489,433.0,,154.62443438914028
142,Historic South-Central,los-angeles,109511.0,9858.4,4.56,47126.0,21870.0,27.4,24603.0,452130.0,1307.0,39.1,65.2,9.9,27.5,1847,526.0,,127.12162162162163
143,Hollywood,los-angeles,57882.0,7311.05,6.05,51955.0,30546.5,6.7,29428.0,1674805.0,1577.0,38.25,73.55,8.8,19.65,2797,240.33333333333334,,215.54442558007923
144,Hollywood Hills,los-angeles,21127.0,1019.2,2.7,90733.0,60977.0,47.3,11528.0,1496247.0,1837.0,32.9,76.1,8.0,9.7,158,356.0,,361.92036553524804
145,Hollywood Hills West,los-angeles,68934.0,3471.95,5.119999999999999,87801.0,57950.0,31.2,41093.0,2189694.0,1976.0,31.85,78.7,7.8,10.45,1698,373.5,,1173.0332278481012
146,Huntington Park,los-angeles,72488.0,7510.8,4.2,53929.0,23967.0,32.3,18168.0,455005.0,1215.0,33.4,67.1,9.6,18.8,665,398.0,,129.4
147,Hyde Park,los-angeles,44272.0,4167.1,3.43,60599.0,31858.0,54.5,17052.0,684346.0,1260.0,47.3,61.7,11.1,16.8,2527,448.0,,173.80225988700565
148,Industry,los-angeles,81156.0,3605.0,4.51,80266.0,26936.0,66.3,18303.0,460593.0,1670.0,29.7,65.0,7.3,9.4,542,559.0,,121.90322580645162
