,neighborhood,city,population,density,family_size,income_household_median,income_individual_median,home_ownership,housing_units,home_value,rent_median,rent_burden,labor_force_participation,unemployment_rate,poverty,total_units,rent_per_month,hh_income,price
149,Inglewood,los-angeles,106447.0,4702.75,14.379999999999999,65815.75,30761.25,39.425,35290.0,2391491.0,1532.5,35.575,67.375,7.675,13.875,1953,408.4,,189.3927855711423
150,Jefferson Park,los-angeles,51388.0,6612.0,3.8,55275.0,26557.0,32.3,16394.0,704069.0,1356.0,40.8,62.9,7.9,21.3,2714,440.0,,154.82692307692307
151,Koreatown,los-angeles,79347.0,9860.633333333333,9.03,57491.0,37327.0,11.133333333333333,35121.0,2435063.0,1730.0,39.03333333333334,67.8,5.033333333333333,17.233333333333334,1448,362.3333333333333,,238.192
152,La Canada Flintridge,los-angeles,20621.0,707.0,3.46,187297.0,82696.0,89.7,6447.0,1660207.0,3413.0,32.4,57.7,4.9,3.2,2,-4.0,,282.8378378378378
153,La Crescenta-Montrose,los-angeles,39878.0,2963.3999999999996,6.95,87806.5,46881.5,50.05,13801.0,1564149.0,1987.5,40.7,66.35,6.949999999999999,10.3,119,253.0,,250.55
154,La Mirada,los-angeles,46335.0,2308.5,3.47,97838.0,37670.0,77.2,14803.0,630063.0,1796.0,34.3,63.9,5.4,5.5,208,464.0,,101.9090909090909
155,La Verne,los-angeles,33406.0,695.8,3.19,96184.0,40920.0,71.2,12191.0,625641.0,1771.0,39.7,61.1,6.9,8.1,227,399.0,,118.65217391304348
156,Ladera Heights,los-angeles,7956.0,1360.6,2.85,105744.0,62436.0,57.2,3556.0,1112224.0,1911.0,26.3,61.3,7.3,7.8,28,420.0,,293.57142857142856
157,Lakewood,los-angeles,81988.0,3656.2333333333336,10.629999999999999,100312.0,40323.333333333336,71.83333333333333,26403.0,1816984.0,2066.3333333333335,30.066666666666666,67.76666666666667,5.733333333333333,5.933333333333334,199,549.3333333333334,,185.6122448979592
158,Lancaster,los-angeles,43535.0,886.7,3.62,46875.0,26873.0,33.8,15438.0,256243.0,1272.0,43.5,53.4,9.4,25.6,1999,388.0,,95.6026936026936
159,Larchmont,los-angeles,59621.0,7545.6,3.44,54947.0,29101.0,16.3,22231.0,1161753.0,1530.0,36.3,71.2,7.4,17.3,817,402.0,,185.02941176470588
160,Lawndale,los-angeles,33794.0,5281.6,3.62,76236.0,31885.0,44.8,10281.0,589962.0,1686.0,33.5,71.7,7.8,8.9,211,534.0,,134.02586206896552
161,Lennox,los-angeles,26103.0,6147.0,4.17,50052.0,24605.0,29.8,7067.0,586607.0,1255.0,36.2,71.8,6.5,18.2,87,434.0,,179.01785714285714
162,Lomita,los-angeles,21727.0,4188.0,3.19,85728.0,40382.0,42.4,8255.0,648888.0,1528.0,27.7,66.0,2.9,12.4,509,493.0,,169.52941176470588
163,Long Beach,los-angeles,476877.0,3893.7,37.09,75847.54545454546,39508.818181818184,42.61818181818182,172811.0,6686027.0,1603.0,32.52727272727273,67.56363636363636,6.409090909090909,13.990909090909092,10532,478.25,,192.9988378849506
164,Lynwood,los-angeles,67210.0,5437.8,4.51,61941.0,25924.0,48.5,15026.0,448422.0,1355.0,36.6,60.5,9.6,16.5,449,558.0,,132.4390243902439
165,Manhattan Beach,los-angeles,35585.0,3393.9,3.2,169586.0,89407.0,67.8,13422.0,1979075.0,2893.0,24.0,62.6,4.4,3.1,7,-4.0,,441.030303030303
166,Mar Vista,los-angeles,54913.0,4409.4,3.02,90983.0,51558.0,36.8,24647.0,1312933.0,1901.0,29.4,71.2,5.7,7.7,507,418.0,,231.2258064516129
167,Maywood,los-angeles,25415.0,8251.6,4.34,54631.0,24611.0,27.3,6320.0,484789.0,1226.0,34.0,66.4,5.7,20.7,149,433.0,,128.94117647058823
168,Mid-Wilshire,los-angeles,61061.0,6090.9,3.36,61616.0,29973.0,26.5,23584.0,1036103.0,1574.0,37.2,67.5,8.2,17.2,1535,454.0,,167.68606701940035
169,Mission Hills,los-angeles,18752.0,2231.8,3.95,85659.0,29813.0,73.7,5448.0,555566.0,1770.0,41.4,64.2,5.3,8.5,93,283.0,,174.86666666666667
170,Monrovia,los-angeles,41507.0,1890.3,3.42,88285.0,40984.0,50.4,14701.0,704245.0,1780.0,29.6,66.5,5.5,8.9,249,516.0,,142.10638297872342
171,Montebello,los-angeles,62941.0,2920.0,3.65,66460.0,28721.0,44.4,19191.0,555380.0,1543.0,34.9,65.2,6.8,11.4,979,444.0,,169.67307692307693
172,Montecito Heights,los-angeles,38533.0,4251.3,3.8,53319.0,22846.0,33.3,11868.0,619399.0,1277.0,34.4,65.0,8.6,20.6,563,547.0,,161.7051282051282
173,Monterey Park,los-angeles,61128.0,3115.8999999999996,6.75,69045.0,28840.5,50.05,20293.0,1329713.0,1627.0,36.5,57.05,6.050000000000001,11.5,739,445.0,,295.68506493506493
174,North Hills,los-angeles,64519.0,4205.7,3.97,71380.0,28598.0,49.9,17977.0,608310.0,1565.0,41.2,65.6,7.3,16.9,972,468.0,,148.21428571428572
175,North Hollywood,los-angeles,78167.0,5062.700000000001,6.470000000000001,59453.5,33364.5,25.549999999999997,32341.0,1393922.0,1636.5,40.25,69.2,7.9,17.6,2068,416.0,,180.83857442348008
176,North Whittier,los-angeles,30955.0,1127.3,3.41,86268.0,41668.0,59.8,10782.0,624692.0,1567.0,33.2,62.5,5.4,8.9,154,615.0,,263.0
177,Northridge,los-angeles,64683.0,2747.1,6.87,80561.0,33737.5,47.25,22635.0,1403578.0,1838.5,40.5,66.75,5.8,14.5,632,479.5,,305.8963414634146
178,Northwest Antelope Valley,los-angeles,73417.0,111.4,3.53,89987.0,41592.0,67.8,22752.0,376643.0,1530.0,32.4,54.5,5.1,11.4,1107,482.0,,179.07692307692307
179,Norwalk,los-angeles,103427.0,4032.7,4.18,83217.0,31585.0,66.8,26353.0,487755.0,1738.0,33.3,62.3,5.8,8.9,957,505.0,,112.86486486486487
180,Pacific Palisades,los-angeles,21282.0,345.1,3.15,212115.0,92185.0,79.0,8074.0,2000001.0,2977.0,27.4,58.7,3.6,4.5,3,-4.0,,578.3967391304348
181,Pacoima,los-angeles,102553.0,4237.3,4.69,72089.0,26212.0,64.1,23182.0,486915.0,1510.0,42.4,62.6,6.4,15.4,1640,317.5,,119.6470588235294
182,Palmdale,los-angeles,97926.0,341.4,7.79,85627.5,35138.5,74.6,27717.0,734291.0,1763.5,36.85,60.45,6.4,11.8,727,686.0,,107.20833333333333
183,Palms,los-angeles,53321.0,6638.6,3.02,88490.0,50984.0,20.4,24938.0,1151912.0,1925.0,28.0,78.2,4.8,8.2,218,519.0,,175.22680412371133
184,Panorama City,los-angeles,68076.0,7054.1,3.76,51485.0,23760.0,34.3,20133.0,483660.0,1408.0,40.6,69.6,9.4,19.7,1298,437.0,,101.78571428571429
185,Paramount,los-angeles,53938.0,4386.4,4.06,60493.0,26320.0,41.7,14360.0,395986.0,1555.0,36.7,64.6,5.0,14.4,452,542.0,,130.03703703703704
186,Pasadena,los-angeles,153695.0,3017.883333333333,18.85,96172.83333333333,48392.5,44.300000000000004,60950.0,5248291.0,1989.8333333333333,34.083333333333336,66.21666666666665,5.05,12.6,3190,327.875,,568.5228276877762
187,Pico Rivera,los-angeles,62383.0,3107.7,4.08,78056.0,31053.0,69.2,16996.0,490729.0,1569.0,36.5,62.0,5.0,10.0,665,598.0,,258.8636363636364
188,Pico-Robertson,los-angeles,26411.0,4480.7,3.32,101570.0,53723.0,33.1,11310.0,1376242.0,2183.0,28.9,72.2,6.5,8.7,269,189.0,,161.3566552901024
189,Pico-Union,los-angeles,57136.0,11408.4,3.56,41068.0,23313.0,9.4,18850.0,718331.0,1234.0,38.4,67.2,6.2,25.6,1291,386.0,,209.43939393939394
190,Playa Vista,los-angeles,11426.0,6174.4,2.78,166667.0,108125.0,35.6,5560.0,1191704.0,3479.0,29.6,76.6,3.6,5.1,16,414.0,,213.46846846846847
191,Pomona,los-angeles,158649.0,2630.5333333333333,12.0,67538.33333333333,25497.666666666668,53.800000000000004,42481.0,1325366.0,1472.0,36.1,62.46666666666667,7.066666666666667,16.400000000000002,1381,523.6666666666666,,130.0340909090909
192,Porter Ranch,los-angeles,36079.0,1719.9,3.28,130322.0,54470.0,74.9,12518.0,846483.0,2229.0,35.6,65.6,4.8,5.4,34,401.0,,181.97222222222223
193,Rancho Palos Verdes,los-angeles,42417.0,1210.2,3.1,158952.0,67536.0,78.9,15397.0,1253002.0,3045.0,31.6,55.8,5.1,4.0,5,-4.0,,703.6875
194,Rancho Park,los-angeles,25161.0,2608.4,3.0,109357.0,64086.0,52.4,11144.0,1378883.0,2282.0,31.7,70.7,4.2,7.8,66,387.0,,158.86046511627907
195,Redondo Beach,los-angeles,79250.0,4216.75,6.16,122169.0,65450.0,52.75,32479.0,2140470.0,2268.5,28.25,71.5,5.15,4.95,874,479.5,,247.79223744292239
196,Reseda,los-angeles,78205.0,4598.5,3.69,68163.0,30633.0,48.2,24289.0,579762.0,1618.0,39.9,66.8,6.5,12.7,1435,437.0,,172.16666666666666
197,Rosemead,los-angeles,59685.0,3532.1,3.97,65042.0,24909.0,51.3,16192.0,601241.0,1565.0,37.4,58.8,5.5,11.7,349,574.0,,152.61133603238866
198,Rowland Heights,los-angeles,45205.0,1231.2,3.56,77183.0,30999.0,65.8,13720.0,662251.0,1704.0,34.4,61.7,7.0,11.0,243,483.0,,113.13680781758957
199,San Dimas,los-angeles,34407.0,887.1,3.3,100614.0,43001.0,70.1,11705.0,620220.0,2012.0,35.0,60.4,4.8,8.7,154,664.0,,149.28301886792454
200,San Fernando,los-angeles,35918.0,4042.0,4.46,67638.0,28027.0,61.6,8829.0,515293.0,1490.0,40.1,65.0,5.6,11.5,124,469.0,,162.16666666666666
201,San Gabriel,los-angeles,38112.0,4404.6,3.66,70538.0,27269.0,41.0,11470.0,699620.0,1627.0,35.1,63.2,7.7,13.0,215,596.0,,163.86729857819904
202,San Marino,los-angeles,12755.0,1299.7,3.3,170223.0,63811.0,83.8,4031.0,1961789.0,3501.0,23.8,58.0,3.7,6.1,1,-4.0,,355.53333333333336
203,San Pedro,los-angeles,21582.0,2329.8,2.99,105297.0,47978.0,72.1,8680.0,657265.0,2244.0,35.6,60.3,5.5,7.4,211,609.0,,187.24324324324326
204,Santa Clarita,los-angeles,110944.0,1100.5333333333335,10.620000000000001,111017.33333333333,48911.0,73.10000000000001,34920.0,1777909.0,2194.0,37.166666666666664,67.73333333333333,5.066666666666666,7.8,182,310.3333333333333,,273.4782608695652
205,Santa Fe Springs,los-angeles,17446.0,809.6,3.85,76397.0,32660.0,67.8,5212.0,492417.0,1638.0,40.1,62.1,4.3,11.3,424,497.0,,165.92307692307693
206,Santa Monica,los-angeles,94880.0,4241.6,14.34,103030.8,65938.8,31.48,47557.0,5790494.0,2070.8,28.18,67.24,6.659999999999999,11.26,2166,410.0,,260.87435328898744
207,Sawtelle,los-angeles,44608.0,6751.9,2.81,100453.0,59020.0,25.2,21470.0,905628.0,2271.0,29.7,75.8,6.3,12.0,99,445.0,,189.26241134751774
208,Shadow Hills,los-angeles,67189.0,1257.8,7.609999999999999,81564.5,33988.5,65.2,19452.0,1220697.0,1630.0,34.9,63.3,6.95,8.75,1066,469.0,,173.18367346938774
209,Sherman Oaks,los-angeles,57962.0,2918.6,5.66,101113.0,56106.5,41.2,26792.0,2193398.0,2097.0,31.700000000000003,76.55,9.0,7.45,322,321.3333333333333,,353.89539748953973
210,Sierra Madre,los-angeles,11253.0,1243.3,3.03,116884.0,71699.0,57.6,4961.0,1046646.0,1825.0,28.8,67.2,4.7,5.7,11,-4.0,,201.97058823529412
211,Signal Hill,los-angeles,11813.0,2099.2,3.37,79260.0,42602.0,48.7,4603.0,570476.0,1565.0,27.1,67.6,4.3,15.5,68,517.0,,150.97674418604652
212,South El Monte,los-angeles,43978.0,2516.8,4.27,59375.0,23230.0,46.1,10786.0,485287.0,1439.0,38.8,61.0,7.2,20.8,200,513.0,,126.03333333333333
213,South Gate,los-angeles,93207.0,4876.7,4.18,59713.0,25728.0,45.0,23824.0,470297.0,1278.0,32.5,65.2,8.6,14.2,798,396.0,,120.80851063829788
214,South Pasadena,los-angeles,26837.0,3019.6,3.19,115088.0,65899.0,47.6,10345.0,1167435.0,1914.0,24.9,71.8,5.0,6.1,11,-4.0,,289.4
215,South Whittier,los-angeles,39926.0,3662.6,3.84,88342.0,37657.0,66.1,11781.0,591432.0,1630.0,31.0,65.6,3.8,6.3,331,418.0,,180.3409090909091
216,Southeast Antelope Valley,los-angeles,16360.0,30.3,9.73,65050.0,31732.333333333332,81.36666666666666,4684.0,819970.0,1427.5,53.3,44.63333333333333,11.666666666666666,17.233333333333334,39,176.66666666666666,,473.84
217,Studio City,los-angeles,53145.0,3267.3500000000004,5.77,104068.5,53694.5,39.45,24474.0,2141560.0,2061.5,30.65,75.35,8.7,6.85,61,450.0,,464.27131782945736
218,Sun Valley,los-angeles,52661.0,3786.3,3.75,56403.0,26651.0,37.4,16304.0,604825.0,1586.0,41.5,65.3,8.5,17.2,1015,507.0,,176.27678571428572
219,Sunland,los-angeles,0.0,,0.0,,,,0.0,0.0,,,,,,1,-4.0,,142.57142857142858
220,Tarzana,los-angeles,29968.0,1577.8,3.06,90886.0,43986.0,57.6,11803.0,1024540.0,1720.0,36.8,65.5,7.5,8.3,192,546.0,,413.74444444444447
221,Temple City,los-angeles,35494.0,3563.8,3.4,88119.0,38175.0,61.5,11656.0,766072.0,1771.0,35.0,62.0,5.8,10.4,81,670.0,,136.9142857142857
222,Torrance,los-angeles,158749.0,2899.625,13.26,96072.5,44975.0,54.150000000000006,57435.0,3211152.0,1852.5,31.325000000000003,64.625,5.875,8.85,1127,495.0,,213.850144092219
223,Tujunga Canyons,los-angeles,171755.0,339.05,14.07,92751.5,37122.75,68.325,50874.0,2322787.0,1718.25,42.325,62.5,5.8999999999999995,11.625,1821,373.0,,381.1578947368421
224,Unincorporated Catalina Island,los-angeles,3940.0,20.0,2.8,77644.0,43893.0,32.6,1543.0,0.0,1677.0,30.7,72.3,0.0,14.6,50,861.0,,276.9
225,Unincorporated Santa Monica Mountains,los-angeles,42605.0,179.4,6.1899999999999995,158892.0,64641.5,80.45,15522.0,2871784.0,3044.0,30.1,61.349999999999994,5.3,5.85,7,-4.0,,897.9951219512195
226,University Park,los-angeles,44768.0,5349.75,3.61,33222.0,9843.0,5.9,12216.0,723343.0,1252.0,48.6,43.05,21.25,68.45,1376,225.5,,83.28333333333333
227,Valley Glen,los-angeles,38974.0,4252.2,3.42,65458.0,31441.0,34.3,14596.0,794462.0,1595.0,39.8,69.7,7.4,18.9,856,439.0,,225.1288888888889
228,Valley Village,los-angeles,30921.0,4837.6,3.08,80871.0,40079.0,31.8,13384.0,863633.0,1761.0,30.9,72.9,8.7,12.8,464,206.0,,266.55900621118013
229,Van Nuys,los-angeles,134057.0,4556.433333333333,10.49,62232.0,30394.333333333332,31.333333333333332,46097.0,1945982.0,1594.3333333333333,38.53333333333333,70.43333333333334,6.8,18.2,2320,450.3333333333333,,169.1138613861386
230,Venice,los-angeles,25685.0,4025.4,2.84,105871.0,69970.0,37.0,13535.0,1906110.0,2304.0,29.8,75.8,6.5,10.0,504,551.0,,326.69338190649665
231,Vermont Square,los-angeles,103162.0,8073.0,8.36,50814.0,24476.0,36.1,27568.0,1055373.0,1320.0,39.95,63.2,7.449999999999999,22.15,3833,472.0,,146.98136645962734
232,Vernon,los-angeles,3659.0,244.2,4.31,33146.0,21742.0,19.2,979.0,0.0,882.0,36.4,64.7,5.8,29.1,550,625.0,,141.289592760181
233,Veterans Administration,los-angeles,881.0,634.1,0.0,,10601.0,,0.0,0.0,,,25.5,49.5,70.0,55,661.0,,218.95
234,Walnut,los-angeles,41829.0,1017.9,3.48,116583.0,42490.0,82.6,12695.0,790082.0,2548.0,37.0,60.6,4.6,7.1,24,625.0,,161.12244897959184
235,Watts,los-angeles,54384.0,7016.7,4.57,46159.0,21780.0,39.4,13011.0,409439.0,1287.0,48.8,61.1,11.0,27.1,2631,580.0,,42.95652173913044
236,West Adams,los-angeles,45884.0,4925.2,3.48,53659.0,32096.0,35.8,17387.0,677128.0,1436.0,40.6,66.9,6.5,16.4,1902,459.0,,179.92741935483872
237,West Carson,los-angeles,18110.0,3122.9,3.31,89206.0,34976.0,67.5,6342.0,520377.0,1550.0,31.0,66.3,6.2,10.1,28,620.0,,209.3448275862069
238,West Covina,los-angeles,111557.0,2744.433333333333,11.34,90528.33333333333,33460.666666666664,62.93333333333334,32323.0,1796546.0,1865.6666666666667,34.93333333333333,64.16666666666667,6.8,9.466666666666667,956,409.0,,129.59851301115242
239,West Hills,los-angeles,80037.0,1688.7,6.82,100165.0,41466.0,66.6,26752.0,1392868.0,2482.0,38.2,66.25,8.75,8.95,574,605.0,,246.2605633802817
240,West Whittier-Los Nietos,los-angeles,32583.0,3316.3,4.14,82377.0,34163.0,69.0,8692.0,512971.0,1606.0,33.3,60.1,5.0,10.6,166,532.0,,143.94736842105263
241,Westchester,los-angeles,54223.0,1645.55,5.78,113413.5,60239.5,48.3,22291.0,2052638.0,2461.0,30.799999999999997,69.44999999999999,7.1,6.300000000000001,89,265.0,,226.4785100286533
242,Westlake,los-angeles,76037.0,18207.25,6.9,44201.5,25142.0,4.0,30175.0,1276376.0,1270.0,36.0,69.65,6.7,31.35,2664,244.33333333333334,,140.96360153256705
243,Westmont,los-angeles,100225.0,7584.4,4.07,43388.0,23538.0,29.3,28202.0,454847.0,1235.0,43.6,60.7,9.9,27.8,5185,484.0,,193.74683544303798
244,Westwood,los-angeles,50611.0,6570.9,2.87,67422.0,19238.0,33.2,16359.0,1230936.0,2441.0,53.8,48.4,10.4,28.0,5,-4.0,,361.0592417061611
245,Whittier,los-angeles,89743.0,2611.266666666667,11.59,82826.66666666667,35224.666666666664,61.833333333333336,25629.0,1802973.0,1667.0,34.166666666666664,62.5,5.433333333333334,9.466666666666667,587,492.0,,189.53333333333333
246,Willowbrook,los-angeles,71307.0,4656.5,9.08,49054.5,22401.5,43.3,18006.0,848397.0,1217.5,46.3,60.3,9.5,23.85,4023,540.5,,163.54054054054055
247,Wilmington,los-angeles,57030.0,2477.9,4.29,55141.0,24951.0,35.7,14995.0,471580.0,1245.0,36.3,63.6,7.4,19.6,917,596.0,,141.0
248,Winnetka,los-angeles,49260.0,4574.7,3.85,77597.0,28936.0,54.2,14463.0,591950.0,1609.0,42.2,68.8,8.0,17.7,371,537.0,,169.66666666666666
249,Woodland Hills,los-angeles,73195.0,1882.15,6.34,107623.0,51109.0,58.349999999999994,28207.0,1739025.0,2479.5,36.9,67.9,7.949999999999999,8.8,435,414.5,,318.28
250,Arlington Heights,portland,8309.0,3405.9,2.5,49708.0,37163.0,21.1,5720.0,587622.0,1190.0,38.3,63.9,6.8,21.4,1040,255.0,,120.83333333333333
251,Buckman,portland,28630.0,3802.7,2.59,82549.0,48154.0,32.6,14412.0,642281.0,1445.0,26.8,81.5,5.3,11.8,352,261.0,,549.5049504950495
252,Centennial,portland,38497.0,3201.0,3.37,48360.0,26626.0,48.9,13833.0,294558.0,1207.0,44.3,63.0,5.8,21.2,1244,430.0,,85.77777777777777
253,Hazelwood,portland,17770.0,2727.0,3.1,55590.0,30058.0,56.0,6986.0,350886.0,1276.0,34.7,72.4,6.3,16.7,292,539.0,,92.10526315789474
254,Hillsdale,portland,18620.0,2006.6,2.75,96477.0,58361.0,46.4,9239.0,627209.0,1535.0,27.5,67.3,4.3,9.9,181,344.0,,138.08510638297872
255,Kenton,portland,35049.0,1214.4,2.73,92255.0,45595.0,58.0,15276.0,459830.0,1613.0,28.7,77.6,4.6,9.4,722,357.0,,112.0
256,Kerns,portland,14780.0,3052.1,2.71,67591.0,41920.0,26.5,8245.0,669992.0,1410.0,30.8,77.6,6.4,9.5,231,365.0,,134.56896551724137
257,Marshall Park,portland,44374.0,1464.4,2.91,106242.0,52371.0,71.0,18306.0,556362.0,1494.0,26.1,69.4,3.4,6.1,358,457.0,,106.14285714285714
258,Mt. Scott-Arleta,portland,52702.0,3153.8,2.96,77133.0,39162.0,66.6,21338.0,401338.0,1485.0,32.0,73.3,5.5,11.8,643,412.0,,114.1951219512195
259,Mt. Tabor,portland,17371.0,2872.1,2.83,91680.0,46889.0,60.8,7335.0,572954.0,1362.0,30.6,70.6,5.2,8.1,105,347.0,,124.45263157894736
260,Overlook,portland,5994.0,1621.3,2.57,77951.0,53514.0,25.0,3257.0,541350.0,1480.0,30.6,82.6,6.3,13.7,324,273.0,,119.25619834710744
261,Pearl,portland,19632.0,3679.35,2.21,72323.0,56084.0,23.3,13794.0,567922.0,1477.0,29.9,70.1,5.6,16.0,1570,116.0,,160.4857142857143
262,Portland Downtown,portland,1055.0,1652.3,2.5,,12124.0,4.9,431.0,0.0,678.0,,39.3,10.1,57.3,134,226.0,,277.1197916666667
263,Rose City Park,portland,31826.0,3047.8,2.81,86005.0,46747.0,65.0,14289.0,505730.0,1342.0,30.8,74.5,3.3,8.1,638,346.0,,108.13559322033899
264,Sellwood-Moreland Improvement League,portland,43507.0,2677.5,2.95,87266.0,39404.0,51.5,18265.0,595428.0,1387.0,29.3,72.3,7.0,11.2,990,367.0,,124.25862068965517
265,Southwest Hills,portland,17015.0,3434.1,2.54,59811.0,35698.0,29.7,9138.0,600176.0,1496.0,41.0,60.5,5.8,23.0,608,261.0,,228.8181818181818
266,St. Johns,portland,34583.0,1239.1,3.3,71498.0,36906.0,58.0,12660.0,392133.0,1337.0,32.0,68.2,5.9,22.0,1154,421.0,,110.32876712328768
267,Sunderland,portland,34148.0,1847.4,2.84,93743.0,46738.0,65.7,14188.0,528874.0,1584.0,27.8,76.4,7.1,10.8,517,399.0,,180.0
268,Wilkes,portland,41563.0,1152.7,3.14,62982.0,31887.0,63.1,15825.0,351641.0,1304.0,37.7,61.0,5.7,14.1,638,541.0,,181.85714285714286
269,Allston,boston,18437.0,5767.2,2.62,70021.0,40145.0,15.2,8082.0,505173.0,1949.0,37.2,72.7,5.7,22.5,597,396.0,,170.47540983606558
270,Back Bay,boston,23819.0,10867.75,4.5,114074.5,89775.0,21.55,12540.0,1411873.0,2726.0,34.6,65.85,1.55,16.85,1512,201.5,,327.5368098159509
271,Brighton,boston,45024.0,6686.8,2.77,85792.0,45586.0,22.3,20040.0,586380.0,1993.0,30.1,76.7,4.6,18.4,2585,417.0,,181.18085106382978
272,Charlestown,boston,20411.0,5821.8,2.98,140534.0,80338.0,48.6,9278.0,803165.0,1860.0,26.2,78.5,2.9,11.0,1828,503.0,,280.16883116883116
273,Chinatown,boston,7841.0,15445.6,2.74,65587.0,35231.0,27.7,3515.0,867632.0,1619.0,52.8,60.4,7.8,26.0,780,425.0,,392.16
274,Dorchester,boston,112431.0,6168.266666666666,9.92,67792.0,35165.0,39.63333333333333,41385.0,1622174.0,1595.6666666666667,42.800000000000004,69.8,7.133333333333333,18.166666666666668,8636,513.3333333333334,,190.24543610547667
275,Fenway,boston,54415.0,13402.2,4.89,52976.0,10646.5,10.600000000000001,17386.0,1462037.0,1970.5,49.4,56.099999999999994,10.4,33.55,3080,438.5,,267.1261682242991
276,Jamaica Plain,boston,41112.0,4483.5,2.93,106153.0,56929.0,45.3,17609.0,664948.0,1975.0,29.5,75.0,4.5,12.7,2226,477.0,,209.24017467248908
277,Mattapan,boston,25572.0,5400.3,3.53,61180.0,32691.0,38.2,8785.0,440283.0,1553.0,42.1,71.8,10.6,16.4,1968,475.0,,154.63934426229508
278,Mission Hill,boston,15082.0,9407.1,2.97,50728.0,17059.0,9.6,4701.0,743349.0,1363.0,33.8,61.6,13.7,37.8,2171,588.0,,161.82608695652175
279,North End,boston,10353.0,17470.9,5.05,128482.0,73458.0,27.75,5983.0,1569157.0,2678.0,24.950000000000003,83.44999999999999,2.2,7.7,296,452.0,,336.1138211382114
280,Roslindale,boston,32609.0,4516.5,3.17,93601.0,44483.0,53.7,12450.0,517420.0,1679.0,32.3,73.1,5.1,10.0,1757,533.0,,174.85897435897436
281,Roxbury,boston,58195.0,6443.25,6.8,37859.5,24671.0,24.25,22671.0,1104501.0,1094.0,47.349999999999994,61.4,8.3,27.05,9809,532.5,,158.94520547945206
282,South Boston,boston,35266.0,6617.3,2.76,131782.0,71864.0,44.4,16799.0,719120.0,1875.0,23.1,80.8,4.8,11.9,1977,474.0,,237.33510638297872
283,South Boston Waterfront,boston,4830.0,2021.1,2.34,160000.0,104435.0,26.0,3016.0,991897.0,3257.0,26.2,88.4,4.3,2.9,54,524.0,,286.9166666666667
284,South End,boston,27718.0,9839.3,2.73,71096.0,48150.0,27.6,13847.0,963016.0,1418.0,41.5,63.3,10.0,25.9,3826,493.0,,263.8706293706294
285,West End,boston,13401.0,11669.0,2.54,118125.0,77476.0,23.1,7358.0,881821.0,2650.0,28.4,75.9,2.5,11.3,752,476.0,,266.6046511627907
286,West Roxbury,boston,26437.0,2098.6,3.0,114596.0,56832.0,70.7,10941.0,605903.0,1778.0,31.0,70.0,5.4,4.4,630,470.0,,211.5
287,Clintonville,columbus,46679.0,2302.7,5.35,71182.5,39875.5,47.6,22243.0,566930.0,1036.5,27.45,76.80000000000001,4.15,15.6,390,301.5,,154.82178217821783
288,Downtown,columbus,15317.0,1150.5,2.1,67390.0,49298.0,20.9,10221.0,394283.0,1342.0,26.0,80.5,2.1,15.3,1038,241.0,,146.76041666666666
289,Eastland/Brice,columbus,47471.0,1472.8,3.2,44410.0,28891.0,39.7,18943.0,110173.0,907.0,30.7,68.0,6.8,19.6,2028,321.0,,121.71428571428571
290,Eastmoor/Walnut Ridge,columbus,60733.0,1825.35,6.4399999999999995,43851.0,28548.5,44.3,25567.0,242994.0,937.0,33.7,63.849999999999994,8.600000000000001,23.95,1763,332.5,,156.0
291,Far North,columbus,6772.0,1063.4,2.6,80667.0,52832.0,28.4,3554.0,219983.0,1321.0,17.9,79.8,3.0,7.5,3,-4.0,,148.41666666666666
292,Franklinton,columbus,4303.0,1177.3,2.76,25100.0,14104.0,25.6,1657.0,79287.0,651.0,43.4,45.3,4.9,54.3,316,272.0,,141.015625
293,Hilltop,columbus,43647.0,1801.9,3.16,52609.0,30331.0,52.4,17589.0,130173.0,994.0,31.0,64.5,5.9,22.4,886,289.0,,112.14285714285714
294,Near East,columbus,21487.0,2222.25,6.449999999999999,41477.0,27435.0,32.85,9537.0,433829.0,818.5,36.7,68.6,10.6,35.9,2518,264.5,,163.97552447552448
295,Near North/University,columbus,33816.0,4274.2,2.6,38609.0,19016.0,17.3,14156.0,314853.0,1151.0,41.6,68.9,6.1,42.2,539,289.0,,164.4029304029304
296,Near South,columbus,22488.0,2875.7,2.76,62310.0,39718.0,46.6,11090.0,220182.0,1061.0,23.7,73.8,4.7,20.6,548,311.0,,169.03991596638656
297,Northland,columbus,55435.0,2368.2,3.25,48601.0,28902.0,40.1,21939.0,156257.0,926.0,27.8,70.5,7.7,22.0,938,335.0,,92.54166666666667
298,South Linden,columbus,22553.0,1847.5,3.18,30106.0,19868.0,38.1,8696.0,62056.0,902.0,38.3,58.5,13.6,37.6,1360,331.0,,129.63013698630138
299,28704.0,asheville,21608.0,276.9,3.51,71026.0,34580.0,61.6,7799.0,285271.0,1182.0,34.4,66.5,4.2,6.1,101,271.0,,159.5785123966942
300,28732.0,asheville,18275.0,170.7,3.0,67167.0,34323.0,84.0,7084.0,263053.0,1130.0,26.6,59.2,3.3,7.6,23,409.0,,184.4431818181818
301,28801.0,asheville,14395.0,1088.0,3.01,44860.0,29537.0,37.6,6544.0,371882.0,966.0,44.1,62.8,3.5,21.9,1655,263.0,,222.00592592592594
