population,housing_units,rent_median,rent_burden,neighbourhood_cleansed,city,_merge
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
0.0,0.0,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",washington-dc,both
,,,,Frick,oakland,right_only
28244.0,7928.0,1369.0,38.7,El Monte,los-angeles,both
59749.0,15260.0,1503.0,35.6,El Monte,los-angeles,both
,,,,El Monte,los-angeles,both
,,,,El Monte,los-angeles,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
4669.0,3664.0,2083.0,27.9,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
0.0,0.0,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
,,,,"Dupont Circle, Connecticut Avenue/K Street",washington-dc,both
76291.0,25531.0,1677.0,37.2,Northwest,san-diego,both
,,,,Northwest,san-diego,both
,,,,78704,austin,both
49854.0,26619.0,1532.0,26.9,78704,austin,both
,,,,78704,austin,both
,,,,78704,austin,both
36409.0,16590.0,2315.0,28.1,Redondo Beach,los-angeles,both
42841.0,15889.0,2222.0,28.4,Redondo Beach,los-angeles,both
,,,,Wilton Manors,broward-county,right_only
41826.0,14512.0,2813.0,27.2,Menlo Park,san-mateo-county,both
,,,,Menlo Park,san-mateo-county,both
316.0,0.0,,,Balboa Park,san-diego,both
,,,,University Park,portland,right_only
7899.0,2841.0,1725.0,36.9,South Kohala,hawaii,both
13386.0,4662.0,1960.0,25.7,South Kohala,hawaii,both
10901.0,5730.0,1111.0,39.7,Seventh Ward,new-orleans,both
,,,,City of Las Vegas,clark-county,both
,,,,City of Las Vegas,clark-county,both
43572.0,15669.0,820.0,37.3,City of Las Vegas,clark-county,both
37633.0,15234.0,1004.0,33.9,City of Las Vegas,clark-county,both
,,,,City of Las Vegas,clark-county,both
25477.0,9353.0,1024.0,49.7,City of Las Vegas,clark-county,both
37342.0,13016.0,1127.0,37.8,City of Las Vegas,clark-county,both
73315.0,26508.0,1165.0,34.5,City of Las Vegas,clark-county,both
,,,,City of Las Vegas,clark-county,both
,,,,City of Las Vegas,clark-county,both
54663.0,22820.0,1326.0,34.0,City of Las Vegas,clark-county,both
,,,,City of Las Vegas,clark-county,both
,,,,City of Las Vegas,clark-county,both
,,,,City of Las Vegas,clark-county,both
37124.0,15000.0,1342.0,30.4,City of Las Vegas,clark-county,both
54770.0,20417.0,1457.0,27.8,City of Las Vegas,clark-county,both
34439.0,12473.0,1435.0,32.2,City of Las Vegas,clark-county,both
51053.0,16970.0,1706.0,25.2,City of Las Vegas,clark-county,both
,,,,City of Las Vegas,clark-county,both
23152.0,11252.0,1717.0,34.5,City of Las Vegas,clark-county,both
,,,,City of Las Vegas,clark-county,both
19971.0,7082.0,1983.0,30.1,City of Las Vegas,clark-county,both
,,,,City of Las Vegas,clark-county,both
13602.0,4115.0,1571.0,24.8,City of Las Vegas,clark-county,both
19796.0,7962.0,1672.0,29.7,City of Las Vegas,clark-county,both
24737.0,9638.0,1289.0,33.2,City of Las Vegas,clark-county,both
